?x2,?x1,?x0
Q3365000,Q3601323,Q3365031
Q3365000,Q3365033,Q3365033
Q3365000,Q3449864,Q3365033
Q3365000,Q3633168,Q3365033
Q3365000,Q3885054,Q3365033
Q3365000,Q3365062,Q3365062
Q3365000,Q3454935,Q3365062
Q3365000,Q3365160,Q3365160
Q3365000,Q3365173,Q3365173
Q3365000,Q3927935,Q3365173
Q3365000,Q3365193,Q3365193
Q3365000,Q3866166,Q3365193
Q3365000,Q3884796,Q3365193
Q3365000,Q3407279,Q3365193
Q3365000,Q3495379,Q3365193
Q3365000,Q3705511,Q3365193
Q3365000,Q3899534,Q3365193
Q3365000,Q3713004,Q3365193
Q3365000,Q3774265,Q3365193
Q3365000,Q3803612,Q3365193
Q3365000,Q3549833,Q3365193
Q3365000,Q3632389,Q3365193
Q3365000,Q3797608,Q3365193
Q3365000,Q3365521,Q3365521
Q3365000,Q3365541,Q3365541
Q3365000,Q3456297,Q3365541
Q3365000,Q3495712,Q3365541
Q3365000,Q3585287,Q3365541
Q3365000,Q3382559,Q3365541
Q3365000,Q3480769,Q3365541
Q3365000,Q3910516,Q3365541
Q3365000,Q3535526,Q3365541
Q3365000,Q3609380,Q3365541
Q3365000,Q3877181,Q3365541
Q3365000,Q3956158,Q3365541
Q3365000,Q3459628,Q3365541
Q3365000,Q3469083,Q3365541
Q3365000,Q3891278,Q3365541
Q3365000,Q3782725,Q3365541
Q3365000,Q3423481,Q3365541
Q3365000,Q3572285,Q3365541
Q3365000,Q3442340,Q3365541
Q3365000,Q3915071,Q3365541
Q3365000,Q3683177,Q3365541
Q3365000,Q3728113,Q3365541
Q3365000,Q3939027,Q3365541
Q3365000,Q3385372,Q3365541
Q3365000,Q3415046,Q3365541
Q3365000,Q3583778,Q3365541
Q3365000,Q3737826,Q3365541
Q3365000,Q3534205,Q3365541
Q3365000,Q3796236,Q3365541
Q3365000,Q3812536,Q3365541
Q3365000,Q3928061,Q3365541
Q3365000,Q3691305,Q3365541
Q3365000,Q3701066,Q3365541
Q3365000,Q3432819,Q3365541
Q3365000,Q3468019,Q3365541
Q3365000,Q3669516,Q3365541
Q3365000,Q3831118,Q3365541
Q3365000,Q3519942,Q3365541
Q3365000,Q3524960,Q3365541
Q3365000,Q3944448,Q3365541
Q3365000,Q3667768,Q3365541
Q3365000,Q3785833,Q3365541
Q3365000,Q3930768,Q3365541
Q3365000,Q3396679,Q3365541
Q3365000,Q3474935,Q3365541
Q3365000,Q3547350,Q3365541
Q3365000,Q3590965,Q3365541
Q3365000,Q3387254,Q3365541
Q3365000,Q3613611,Q3365541
Q3365000,Q3706521,Q3365541
Q3365000,Q3456024,Q3365541
Q3365000,Q3674463,Q3365541
Q3365000,Q3802487,Q3365541
Q3365000,Q3365656,Q3365656
Q3365000,Q3641407,Q3365656
Q3365000,Q3728818,Q3365656
Q3365000,Q3899749,Q3365656
Q3365000,Q3450072,Q3365656
Q3365000,Q3426987,Q3365656
Q3365000,Q3661885,Q3365656
Q3365000,Q3872542,Q3365656
Q3365000,Q3854690,Q3365656
Q3365000,Q3946106,Q3365656
Q3365000,Q3734172,Q3365656
Q3365000,Q3393190,Q3365656
Q3365000,Q3619046,Q3365656
Q3365000,Q3704558,Q3365656
Q3365000,Q3828356,Q3365656
Q3365000,Q3435439,Q3365656
Q3365000,Q3685570,Q3365656
Q3365000,Q3525663,Q3365656
Q3365000,Q3586791,Q3365656
Q3365000,Q3789329,Q3365656
Q3365000,Q3801574,Q3365656
Q3365000,Q3882644,Q3365656
Q3365000,Q3544980,Q3365656
Q3365000,Q3898643,Q3365656
Q3365000,Q3793115,Q3365656
Q3365000,Q3467754,Q3365656
Q3365000,Q3918202,Q3365656
Q3365000,Q3892627,Q3365656
Q3365000,Q3918261,Q3365656
Q3365000,Q3405482,Q3365656
Q3365000,Q3464098,Q3365656
Q3365000,Q3618477,Q3365656
Q3365000,Q3886363,Q3365656
Q3365000,Q3932015,Q3365656
Q3365000,Q3429501,Q3365656
Q3365000,Q3511190,Q3365656
Q3365000,Q3621718,Q3365656
Q3365000,Q3773921,Q3365656
Q3365000,Q3503883,Q3365656
Q3365000,Q3851804,Q3365656
Q3365000,Q3913607,Q3365656
Q3365000,Q3917925,Q3365656
Q3365000,Q3365667,Q3365667
Q3365000,Q3738759,Q3365667
Q3365000,Q3365719,Q3365719
Q3365000,Q3601413,Q3365719
Q3365000,Q3627913,Q3365719
Q3365000,Q3670167,Q3365719
Q3365000,Q3720198,Q3365719
Q3365000,Q3891504,Q3365719
Q3365000,Q3429449,Q3365719
Q3365000,Q3892081,Q3365719
Q3365000,Q3934163,Q3365719
Q3365000,Q3520879,Q3365719
Q3365000,Q3681084,Q3365719
Q3365000,Q3509148,Q3365719
Q3365000,Q3899810,Q3365719
Q3365000,Q3428768,Q3365719
Q3365000,Q3518718,Q3365719
Q3365000,Q3718444,Q3365719
Q3365000,Q3729739,Q3365719
Q3365000,Q3366057,Q3366057
Q3365000,Q3434283,Q3366057
Q3365000,Q3670664,Q3366057
Q3365000,Q3740593,Q3366057
Q3365000,Q3493441,Q3366057
Q3365000,Q3659470,Q3366057
Q3365000,Q3796948,Q3366057
Q3365000,Q3808629,Q3366057
Q3365000,Q3841724,Q3366057
Q3365000,Q3524499,Q3366057
Q3365000,Q3366111,Q3366111
Q3365000,Q3537550,Q3366111
Q3365000,Q3366169,Q3366169
Q3365000,Q3448433,Q3366169
Q3365000,Q3588583,Q3366169
Q3365000,Q3702525,Q3366169
Q3365000,Q3632181,Q3366169
Q3365000,Q3700962,Q3366169
Q3365000,Q3520082,Q3366169
Q3365000,Q3734118,Q3366169
Q3365000,Q3850010,Q3366169
Q3365000,Q3400246,Q3366169
Q3365000,Q3637808,Q3366169
Q3365000,Q3561135,Q3366169
Q3365000,Q3717469,Q3366169
Q3365000,Q3383445,Q3366169
Q3365000,Q3392079,Q3366169
Q3365000,Q3556866,Q3366169
Q3365000,Q3577907,Q3366169
Q3365000,Q3754153,Q3366169
Q3365000,Q3871421,Q3366169
Q3365000,Q3777038,Q3366169
Q3365000,Q3944549,Q3366169
Q3365000,Q3959586,Q3366169
Q3365000,Q3366271,Q3366271
Q3365000,Q3728169,Q3366271
Q3365000,Q3572630,Q3366271
Q3365000,Q3523704,Q3366271
