?x0,?x1
---------------------------------------
Q330028,Q3365000
Q658651,Q3365000
Q248433,Q3365000
Q841349,Q3365000
Q411156,Q3365000
Q1166409,Q3365000
Q1165681,Q3365000
Q1223487,Q3365000
Q1245472,Q3365000
Q1382260,Q3365000
Q1382263,Q3365000
Q1526165,Q3365000
Q289828,Q3365000
Q499040,Q3365000
Q922421,Q3365000
Q1506068,Q3365000
Q974402,Q3365000
Q219340,Q3365000
Q269980,Q3365000
Q839809,Q3365000
Q124727,Q3365000
Q873106,Q3365000
Q1310884,Q3365000
Q1037974,Q3365000
Q1308968,Q3365000
Q1092766,Q3365000
Q1167690,Q3365000
Q1528587,Q3365000
Q232894,Q3365000
Q290668,Q3365000
Q298978,Q3365000
Q386220,Q3365000
Q441732,Q3365000
Q506910,Q3365000
Q702,Q3365000
Q854529,Q3365000
Q390727,Q3365000
Q49673,Q3365000
Q874368,Q3365000
Q89788,Q3365000
Q1350038,Q3365000
Q37963,Q3365000
Q1460903,Q3365000
Q856530,Q3365000
Q1127117,Q3365000
Q1226968,Q3365000
Q1418828,Q3365000
Q189101,Q3365000
Q465587,Q3365000
Q64009,Q3365000
Q760952,Q3365000
Q714674,Q3365000
Q1521131,Q3365000
Q302632,Q3365000
Q1147254,Q3365000
Q887793,Q3365000
Q714438,Q3365000
Q309188,Q3365000
Q610762,Q3365000
Q1326919,Q3365000
Q1461504,Q3365000
Q1020772,Q3365000
Q346441,Q3365000
Q686738,Q3365000
Q219891,Q3365000
Q572739,Q3365000
Q1339437,Q3365000
Q730998,Q3365000
Q911513,Q3365000
Q615453,Q3365000
Q660434,Q3365000
Q83482,Q3365000
Q1458253,Q3365000
Q939640,Q3365000
Q1062904,Q3365000
Q1382175,Q3365000
Q747441,Q3365000
Q294888,Q3365000
Q563753,Q3365000
Q357828,Q3365000
Q762624,Q3365000
Q1320189,Q3365000
Q280631,Q3365000
Q265662,Q3365000
Q1302398,Q3365000
Q67732,Q3365000
Q585750,Q3365000
Q1527712,Q3365000
Q87902,Q3365000
Q1266779,Q3365000
Q259882,Q3365000
Q1263713,Q3365000
Q351796,Q3365000
Q476468,Q3365000
Q554975,Q3365000
Q617414,Q3365000
Q192046,Q3365000
Q296254,Q3365000
Q1470980,Q3365000
Q76027,Q3365000
Q1268425,Q3365000
Q243271,Q3365000
Q547675,Q3365000
Q760486,Q3365000
Q133475,Q3365000
Q1439769,Q3365000
Q53486,Q3365000
Q1541658,Q3365000
Q1422433,Q3365000
Q1063912,Q3365000
Q162197,Q3365000
Q320516,Q3365000
Q53978,Q3365000
Q719006,Q3365000
Q289891,Q3365000
Q785489,Q3365000
Q1112046,Q3365000
Q30564,Q3365000
Q230913,Q3365000
Q473936,Q3365000
Q583792,Q3365000
Q241318,Q3365000
Q1233298,Q3365000
Q833821,Q3365000
Q1084540,Q3365000
Q452285,Q3365000
Q392960,Q3365000
Q1192982,Q3365000
Q890410,Q3365000
Q453469,Q3365000
Q710463,Q3365000
Q1447404,Q3365000
Q681545,Q3365000
Q336108,Q3365000
Q377482,Q3365000
Q932525,Q3365000
Q1369261,Q3365000
Q1220585,Q3365000
Q638716,Q3365000
Q784536,Q3365000
Q52356,Q3365000
Q604215,Q3365000
Q837890,Q3365000
Q771574,Q3365000
Q617283,Q3365000
Q114737,Q3365000
Q643446,Q3365000
Q1371620,Q3365000
Q1116083,Q3365000
Q208331,Q3365000
Q47539,Q3365000
Q1201133,Q3365000
Q1319419,Q3365000
Q488893,Q3365000
Q149469,Q3365000
Q1089628,Q3365000
Q457152,Q3365000
Q1232436,Q3365000
Q61716,Q3365000
Q1256259,Q3365000
Q1366653,Q3365000
Q864661,Q3365000
Q1243441,Q3365000
Q483796,Q3365000
Q1462023,Q3365000
Q1186466,Q3365000
Q1471783,Q3365000
Q1108721,Q3365000
Q1131078,Q3365000
Q1192183,Q3365000
Q1428883,Q3365000
Q1260879,Q3365000
Q1046373,Q3365000
Q1286338,Q3365000
Q156959,Q3365000
Q284413,Q3365000
Q644151,Q3365000
Q674674,Q3365000
Q817820,Q3365000
Q830884,Q3365000
Q842202,Q3365000
Q893369,Q3365000
Q931389,Q3365000
Q975984,Q3365000
Q1384127,Q3365000
Q221219,Q3365000
Q893699,Q3365000
Q727024,Q3365000
Q211299,Q3365000
Q54148,Q3365000
Q597064,Q3365000
Q937024,Q3365000
Q1271282,Q3365000
Q1145043,Q3365000
Q610575,Q3365000
Q1334099,Q3365000
Q830590,Q3365000
Q1460467,Q3365000
Q520828,Q3365000
Q1493549,Q3365000
Q703640,Q3365000
Q275404,Q3365000
Q1482553,Q3365000
Q565094,Q3365000
Q109373,Q3365000
Q154777,Q3365000
Q1104364,Q3365000
Q1344534,Q3365000
Q544912,Q3365000
Q1209228,Q3365000
Q839802,Q3365000
Q976109,Q3365000
Q130243,Q3365000
Q1071481,Q3365000
Q575069,Q3365000
Q958695,Q3365000
Q1074014,Q3365000
Q1341510,Q3365000
Q1332542,Q3365000
Q674416,Q3365000
Q288961,Q3365000
Q44018,Q3365000
Q1150161,Q3365000
Q1207945,Q3365000
Q1068105,Q3365000
Q1541432,Q3365000
Q1472439,Q3365000
Q1241332,Q3365000
Q1095734,Q3365000
Q106506,Q3365000
Q141782,Q3365000
Q226764,Q3365000
Q323536,Q3365000
Q351264,Q3365000
Q449779,Q3365000
Q514884,Q3365000
Q535641,Q3365000
Q541936,Q3365000
Q617990,Q3365000
Q676970,Q3365000
Q711494,Q3365000
Q75952,Q3365000
Q768750,Q3365000
Q780471,Q3365000
Q903689,Q3365000
Q682114,Q3365000
Q223214,Q3365000
Q402596,Q3365000
Q851247,Q3365000
Q1152506,Q3365000
Q1381792,Q3365000
Q597538,Q3365000
Q1223145,Q3365000
Q1123012,Q3365000
Q404950,Q3365000
Q226735,Q3365000
Q199552,Q3365000
Q423688,Q3365000
Q1402896,Q3365000
Q570094,Q3365000
Q111159,Q3365000
Q60541,Q3365000
Q334061,Q3365000
Q168503,Q3365000
Q199981,Q3365000
Q298782,Q3365000
Q248909,Q3365000
Q97985,Q3365000
