?x0,?x2
---------------------------------------
Q1284395,Q1284395
Q1393616,Q1393616
Q1405647,Q1405647
Q1229632,Q1229632
Q1187492,Q1187492
Q1002121,Q1002121
Q1350817,Q1350817
Q1375696,Q1375696
Q1192072,Q1192072
Q1498405,Q1498405
Q1196186,Q1196186
Q1221617,Q1221617
Q1291359,Q1221617
Q1492035,Q1492035
Q1239304,Q1239304
Q1094761,Q1094761
Q1408629,Q1408629
Q1233329,Q1233329
Q1045559,Q1045559
Q1469331,Q1469331
Q1212986,Q1212986
Q1164485,Q1164485
Q1353817,Q1353817
Q1183936,Q1183936
Q1069458,Q1069458
Q1415868,Q1415868
Q419047,Q1415868
Q1349436,Q1349436
Q1422048,Q1422048
Q1318501,Q1318501
Q1147256,Q1147256
Q1458046,Q1458046
Q1421173,Q1421173
Q1219192,Q1219192
Q1311265,Q1311265
Q1218743,Q1218743
Q292980,Q1218743
Q1515682,Q1515682
Q1537762,Q1537762
Q1189449,Q1189449
Q1019060,Q1019060
Q1355452,Q1355452
Q1346968,Q1346968
Q1198694,Q1198694
Q1484635,Q1484635
Q1405707,Q1405707
Q1190275,Q1405707
Q1362115,Q1362115
Q1249465,Q1249465
Q1215384,Q1215384
Q1399859,Q1399859
Q1197062,Q1197062
Q1162746,Q1162746
Q1548589,Q1548589
Q1414116,Q1414116
Q1336100,Q1336100
Q700711,Q1336100
Q1298413,Q1298413
Q1028289,Q1028289
Q1064237,Q1064237
Q1263998,Q1263998
Q1111650,Q1111650
Q1475954,Q1475954
Q1540206,Q1540206
Q1233016,Q1233016
Q1409862,Q1409862
Q1142704,Q1142704
Q1460990,Q1460990
Q1095265,Q1095265
Q1353270,Q1353270
Q1373573,Q1373573
Q1186444,Q1186444
Q1315564,Q1315564
Q1087160,Q1087160
Q1203067,Q1203067
Q1389477,Q1389477
Q1437824,Q1437824
Q1141468,Q1141468
Q1349351,Q1349351
Q1013839,Q1013839
Q1409784,Q1409784
Q1501960,Q1501960
Q1200245,Q1200245
Q1333851,Q1333851
Q1185492,Q1185492
Q1315214,Q1315214
Q1236163,Q1315214
Q887254,Q1315214
Q1477223,Q1477223
Q1167454,Q1477223
Q1479341,Q1479341
Q1193596,Q1193596
Q1283783,Q1283783
Q1545421,Q1545421
Q1380771,Q1380771
Q1473702,Q1473702
Q1101773,Q1101773
Q1497903,Q1497903
Q1318265,Q1318265
Q1421546,Q1421546
Q1332513,Q1332513
Q1113231,Q1113231
