?x1,?x2
---------------------------------------
Q4611081,Q3365000
Q4919365,Q3365000
Q4865431,Q3365000
Q4580963,Q3365000
Q4659062,Q3365000
Q4901873,Q3365000
Q4823965,Q3365000
Q4548123,Q3365000
Q4856517,Q3365000
Q4225929,Q3365000
Q4220587,Q3365000
Q4039039,Q3365000
Q4266515,Q3365000
Q4471929,Q3365000
Q4117262,Q3365000
Q4141320,Q3365000
Q4556615,Q3365000
Q4953474,Q3365000
Q4992460,Q3365000
Q4251233,Q3365000
Q4000874,Q3365000
Q4760371,Q3365000
Q4391175,Q3365000
Q4465131,Q3365000
Q4627125,Q3365000
Q4890147,Q3365000
Q3994768,Q3365000
Q4494994,Q3365000
Q4003764,Q3365000
Q4594396,Q3365000
Q4580982,Q3365000
Q4838446,Q3365000
Q4146575,Q3365000
Q4458304,Q3365000
Q4464308,Q3365000
Q4609338,Q3365000
Q4600513,Q3365000
Q4240784,Q3365000
Q4511525,Q3365000
Q4356152,Q3365000
Q4293026,Q3365000
Q4750673,Q3365000
Q4202784,Q3365000
Q4732917,Q3365000
Q4244157,Q3365000
Q4843490,Q3365000
Q4970122,Q3365000
Q4445080,Q3365000
Q4786814,Q3365000
Q4874774,Q3365000
Q5000952,Q3365000
Q4202334,Q3365000
Q4041871,Q3365000
Q4969363,Q3365000
Q3997896,Q3365000
Q4554534,Q3365000
Q4525893,Q3365000
Q4658671,Q3365000
Q4498503,Q3365000
Q4064768,Q3365000
Q4935109,Q3365000
Q4213752,Q3365000
Q4411260,Q3365000
Q4921840,Q3365000
Q4543080,Q3365000
Q4566197,Q3365000
Q4243470,Q3365000
Q4938550,Q3365000
Q4338661,Q3365000
Q4668045,Q3365000
Q4599158,Q3365000
Q4938243,Q3365000
Q4292945,Q3365000
Q4012263,Q3365000
Q4092588,Q3365000
Q4068629,Q3365000
Q4074954,Q3365000
Q4707513,Q3365000
Q4156443,Q3365000
Q5011763,Q3365000
Q4613072,Q3365000
Q4614175,Q3365000
Q4749463,Q3365000
Q5007847,Q3365000
Q4828788,Q3365000
Q4135541,Q3365000
Q4620270,Q3365000
Q4645865,Q3365000
Q4679884,Q3365000
Q4803187,Q3365000
Q4479402,Q3365000
Q4927289,Q3365000
Q4252142,Q3365000
Q4808001,Q3365000
Q4847783,Q3365000
Q4031405,Q3365000
Q4983172,Q3365000
Q4768805,Q3365000
Q4978640,Q3365000
Q4620587,Q3365000
Q4979880,Q3365000
Q4542899,Q3365000
Q4991376,Q3365000
Q4251306,Q3365000
Q4522740,Q3365000
Q4747294,Q3365000
