?x2,?x1
---------------------------------------
Q4611081,Q3365000
Q4919365,Q3365000
Q4865431,Q3365000
Q4659062,Q3365000
Q4551566,Q3365000
Q4103659,Q3365000
Q5010525,Q3365000
Q4195103,Q3365000
Q4862432,Q3365000
Q4883515,Q3365000
Q4268414,Q3365000
Q4581594,Q3365000
Q4352407,Q3365000
Q4269956,Q3365000
Q4492254,Q3365000
Q4896438,Q3365000
Q5000952,Q3365000
Q4560568,Q3365000
Q4798709,Q3365000
Q4346084,Q3365000
Q4470748,Q3365000
Q5013027,Q3365000
Q4471929,Q3365000
Q4043354,Q3365000
Q3974519,Q3365000
Q4126654,Q3365000
Q4909646,Q3365000
Q3991903,Q3365000
Q4416209,Q3365000
Q4239583,Q3365000
Q4847684,Q3365000
Q4909191,Q3365000
Q4284345,Q3365000
Q4538914,Q3365000
Q4046589,Q3365000
Q4651177,Q3365000
Q4039443,Q3365000
Q4919112,Q3365000
Q4309875,Q3365000
Q4453886,Q3365000
Q4362226,Q3365000
Q4968409,Q3365000
Q4588217,Q3365000
Q4740875,Q3365000
Q4508113,Q3365000
Q4726136,Q3365000
Q4719851,Q3365000
Q4129095,Q3365000
Q4225923,Q3365000
Q4472146,Q3365000
Q4410946,Q3365000
Q4532564,Q3365000
Q4695433,Q3365000
Q4039039,Q3365000
Q3993710,Q3365000
Q4598637,Q3365000
Q4839663,Q3365000
Q4264163,Q3365000
Q4487176,Q3365000
Q4949964,Q3365000
Q3997896,Q3365000
Q4259843,Q3365000
Q4295673,Q3365000
Q4342707,Q3365000
Q4208953,Q3365000
Q4360455,Q3365000
Q4874774,Q3365000
Q4870124,Q3365000
Q4993906,Q3365000
Q4624396,Q3365000
Q4086865,Q3365000
Q4548061,Q3365000
Q4092701,Q3365000
Q4093418,Q3365000
Q4466554,Q3365000
Q4364374,Q3365000
Q4937757,Q3365000
Q4898321,Q3365000
Q4973710,Q3365000
Q4030259,Q3365000
Q4902440,Q3365000
Q4266793,Q3365000
Q4084552,Q3365000
Q4193719,Q3365000
Q4400498,Q3365000
Q4594396,Q3365000
Q4661609,Q3365000
Q4258551,Q3365000
Q3968552,Q3365000
Q4606244,Q3365000
Q5001603,Q3365000
Q4211333,Q3365000
Q4309735,Q3365000
Q4318117,Q3365000
Q4520792,Q3365000
Q4332016,Q3365000
Q4225929,Q3365000
Q4293026,Q3365000
Q4525893,Q3365000
Q4084353,Q3365000
Q4769173,Q3365000
Q4608586,Q3365000
Q4391991,Q3365000
Q4414014,Q3365000
Q4530157,Q3365000
Q4431132,Q3365000
