?x1,?x2
---------------------------------------
Q1097149,Q1050006
Q6896,Q1050006
Q1050006,Q1050006
Q61983,Q1284395
Q9667,Q1284395
Q1284395,Q1284395
Q1237506,Q1393616
Q11062,Q1393616
Q1393616,Q1393616
Q811101,Q1405647
Q11297,Q1405647
Q143886,Q1405647
Q1405647,Q1405647
Q792524,Q1229632
Q17529,Q1229632
Q1229632,Q1229632
Q758499,Q1156723
Q19695,Q1156723
Q1156723,Q1156723
Q55961,Q1187492
Q20120,Q1187492
Q1187492,Q1187492
Q1504410,Q1124570
Q21276,Q1124570
Q1124570,Q1124570
Q167714,Q1198584
Q21654,Q1198584
Q1198584,Q1198584
Q176026,Q1523196
Q22470,Q1523196
Q1523196,Q1523196
Q1093940,Q1002121
Q23131,Q1002121
Q1002121,Q1002121
Q976631,Q1367897
Q322471,Q1367897
Q1367897,Q1367897
Q1174446,Q1350817
Q28217,Q1350817
Q1350817,Q1350817
Q1153201,Q1375696
Q28822,Q1375696
Q1375696,Q1375696
Q659127,Q1192072
Q31110,Q1192072
Q1192072,Q1192072
Q680595,Q1498405
Q31795,Q1498405
Q1498405,Q1498405
Q180219,Q1196186
Q34049,Q1196186
Q1196186,Q1196186
Q268840,Q1221617
Q1495785,Q1221617
Q34727,Q1221617
Q560101,Q1221617
Q1221617,Q1221617
Q1544865,Q1049904
Q34883,Q1049904
Q1049904,Q1049904
Q215840,Q1168353
Q35972,Q1168353
Q1168353,Q1168353
Q1545652,Q1474888
Q42758,Q1474888
Q1474888,Q1474888
Q818804,Q1094563
Q45980,Q1094563
Q1094563,Q1094563
Q812681,Q1492035
Q46733,Q1492035
Q1492035,Q1492035
Q529015,Q1239304
Q48196,Q1239304
Q1239304,Q1239304
Q684333,Q1094761
Q52067,Q1094761
Q1094761,Q1094761
Q67332,Q1408629
Q54595,Q1408629
Q1408629,Q1408629
Q246331,Q1033983
Q56148,Q1033983
Q1033983,Q1033983
Q402051,Q1291512
Q56458,Q1291512
Q1291512,Q1291512
Q1105977,Q1233329
Q1337137,Q1233329
Q57456,Q1233329
Q1233329,Q1233329
Q1466850,Q1448450
Q58061,Q1448450
Q1448450,Q1448450
Q1208418,Q1045559
Q58544,Q1045559
Q1045559,Q1045559
Q418802,Q1469331
Q58876,Q1469331
Q1469331,Q1469331
Q1386742,Q1343233
Q58911,Q1343233
Q1343233,Q1343233
Q399998,Q1212986
Q59211,Q1212986
Q1212986,Q1212986
Q373005,Q1164485
Q59272,Q1164485
Q1164485,Q1164485
Q668998,Q1002616
Q60716,Q1002616
Q1002616,Q1002616
Q1514913,Q1457175
Q62186,Q1457175
Q1457175,Q1457175
Q1225940,Q1467468
Q66362,Q1467468
Q1467468,Q1467468
Q914030,Q1080413
Q67386,Q1080413
Q1080413,Q1080413
Q770409,Q1222444
Q70474,Q1222444
Q1222444,Q1222444
Q1044391,Q1171098
Q71374,Q1171098
Q1171098,Q1171098
Q839598,Q1353817
Q71874,Q1353817
Q1353817,Q1353817
Q306202,Q1183936
Q72050,Q1183936
Q901780,Q1183936
Q1183936,Q1183936
Q1527532,Q1060792
Q72121,Q1060792
Q1190811,Q1060792
Q1060792,Q1060792
Q922278,Q1069458
Q72387,Q1069458
Q1069458,Q1069458
Q809795,Q1415868
Q217567,Q1415868
Q73852,Q1415868
Q1415868,Q1415868
Q142618,Q1148435
Q74471,Q1148435
Q1148435,Q1148435
Q1289531,Q1349436
Q561142,Q1349436
Q77070,Q1349436
Q1349436,Q1349436
Q236051,Q1422048
Q77406,Q1422048
Q1422048,Q1422048
Q1221554,Q1045911
Q77828,Q1045911
Q1045911,Q1045911
Q1430557,Q1068777
Q78793,Q1068777
Q1068777,Q1068777
Q44027,Q1182055
Q79154,Q1182055
Q1182055,Q1182055
Q1534199,Q1318501
Q79842,Q1318501
Q1318501,Q1318501
Q652146,Q1547084
Q81027,Q1547084
Q1547084,Q1547084
Q703534,Q1147256
Q81247,Q1147256
Q1147256,Q1147256
Q121453,Q1482182
Q83570,Q1482182
Q1482182,Q1482182
Q1378549,Q1458046
Q84068,Q1458046
Q1458046,Q1458046
Q427637,Q1421173
Q84247,Q1421173
Q1421173,Q1421173
Q1401132,Q1219192
Q96302,Q1219192
Q1219192,Q1219192
Q436456,Q1311265
Q96512,Q1311265
Q1311265,Q1311265
Q666426,Q1218743
Q96876,Q1218743
Q1218743,Q1218743
Q815011,Q1515682
Q97390,Q1515682
Q1515682,Q1515682
Q87144,Q1086527
Q98438,Q1086527
Q1086527,Q1086527
Q123653,Q1537762
Q99142,Q1537762
Q1537762,Q1537762
Q1108500,Q1189449
Q99972,Q1189449
Q1189449,Q1189449
Q1521721,Q1019060
Q100381,Q1019060
Q1019060,Q1019060
Q866006,Q1355452
Q811913,Q1355452
Q100862,Q1355452
Q1355452,Q1355452
Q269657,Q1079299
Q100884,Q1079299
Q1079299,Q1079299
Q80308,Q1346968
Q107059,Q1346968
Q1346968,Q1346968
Q1511249,Q1198694
Q107328,Q1198694
Q1198694,Q1198694
Q731097,Q1425967
Q109611,Q1425967
Q1425967,Q1425967
Q38875,Q1221338
Q109656,Q1221338
Q1221338,Q1221338
Q534855,Q1484635
Q112671,Q1484635
Q1484635,Q1484635
Q1421297,Q1160613
Q114772,Q1160613
Q1160613,Q1160613
Q1305414,Q1455470
Q115008,Q1455470
Q1455470,Q1455470
Q68085,Q1405707
Q115856,Q1405707
Q1405707,Q1405707
Q1400540,Q1502351
Q116641,Q1502351
Q1502351,Q1502351
Q1219439,Q1362115
Q117935,Q1362115
Q1362115,Q1362115
Q198303,Q1249465
Q119524,Q1249465
Q1249465,Q1249465
Q465347,Q1333029
Q119961,Q1333029
Q1333029,Q1333029
Q445098,Q1356880
Q120122,Q1356880
Q1356880,Q1356880
Q1482617,Q1215384
Q1022124,Q1215384
Q121772,Q1215384
Q1215384,Q1215384
Q457733,Q1301402
Q123304,Q1301402
Q1301402,Q1301402
Q958714,Q1399859
Q125462,Q1399859
Q1399859,Q1399859
Q716198,Q1355733
Q126073,Q1355733
Q1355733,Q1355733
Q557760,Q1197062
Q128930,Q1197062
Q1197062,Q1197062
Q1533606,Q1162746
Q129562,Q1162746
Q1162746,Q1162746
Q786945,Q1548589
Q133726,Q1548589
Q1548589,Q1548589
Q422680,Q1434860
Q135109,Q1434860
Q1434860,Q1434860
Q512759,Q1414116
Q135927,Q1414116
Q1414116,Q1414116
Q1098036,Q1336100
Q136839,Q1336100
Q1336100,Q1336100
Q1085753,Q1446883
Q136963,Q1446883
Q1446883,Q1446883
Q741680,Q1318425
Q137381,Q1318425
Q1318425,Q1318425
Q990988,Q1407662
Q139724,Q1407662
Q1407662,Q1407662
Q181398,Q1298413
Q139822,Q1298413
Q1298413,Q1298413
Q1238469,Q1028289
Q144288,Q1028289
Q1028289,Q1028289
Q327065,Q1325288
Q151055,Q1325288
Q1325288,Q1325288
Q888465,Q1064237
Q153601,Q1064237
Q1064237,Q1064237
Q1303808,Q1484665
Q155528,Q1484665
Q1484665,Q1484665
Q1136278,Q1114055
Q156658,Q1114055
Q1114055,Q1114055
Q1236714,Q1263998
Q157340,Q1263998
Q1263998,Q1263998
Q318215,Q1111650
Q161506,Q1111650
Q1111650,Q1111650
Q1626,Q1475954
Q163655,Q1475954
Q1475954,Q1475954
Q1282934,Q1540206
Q164272,Q1540206
Q1540206,Q1540206
Q1073067,Q1233016
Q164446,Q1233016
Q1233016,Q1233016
Q161664,Q1409862
Q164738,Q1409862
Q1409862,Q1409862
Q1261288,Q1142704
Q165815,Q1142704
Q943276,Q1142704
Q1142704,Q1142704
Q1153917,Q1392024
Q167394,Q1392024
Q1392024,Q1392024
Q807375,Q1196159
Q170572,Q1196159
Q1196159,Q1196159
Q852020,Q1460990
Q174014,Q1460990
Q1460990,Q1460990
Q827770,Q1095265
Q174062,Q1095265
Q1095265,Q1095265
Q1459737,Q1353270
