?x0,?x3
---------------------------------------
Q4634513,Q1010282
Q3997896,Q1010282
Q4993906,Q1010282
Q4263863,Q1010282
Q4556615,Q1010282
Q4340700,Q1010282
Q4973710,Q1010282
Q4935254,Q1010282
Q4236418,Q1010282
Q4979257,Q1010282
Q4640392,Q1010282
Q4919112,Q1010282
Q4903084,Q1010282
Q4002234,Q1010282
Q4749463,Q1010282
Q4632795,Q1010282
Q4678085,Q1010282
Q4015636,Q1010282
Q4763174,Q1010282
Q4315088,Q1010282
Q4625021,Q1010282
Q4171070,Q1010282
Q4312624,Q1010282
Q4901873,Q1010282
Q4043354,Q1010282
Q4403057,Q1010282
Q4366490,Q1010282
Q4552992,Q1010282
Q4350521,Q1010282
Q4231398,Q1010282
Q4239658,Q1010282
Q4129449,Q1010282
Q4594538,Q1010282
Q4428711,Q1010282
Q4769189,Q1010282
Q4469148,Q1010282
Q4547778,Q1010282
Q4424054,Q1010282
Q4505555,Q1010282
Q4473899,Q1010282
Q4069353,Q1010282
Q4919365,Q1010282
Q4268414,Q1010282
Q4107098,Q1010282
Q4340422,Q1010282
Q4175981,Q1010282
Q4484900,Q1010282
Q4522886,Q1010282
Q4883515,Q1010282
Q4511525,Q1010282
Q4747716,Q1010282
Q4958462,Q1010282
Q4591596,Q1010282
Q4554534,Q1010282
Q4707513,Q1010282
Q4721727,Q1010282
Q4029805,Q1010282
Q4055430,Q1010282
Q4957540,Q1010282
Q4395032,Q1010282
Q5005114,Q1010282
Q4491709,Q1010282
Q3985300,Q1010282
Q4199047,Q1010282
Q4830309,Q1010282
Q4616345,Q1010282
Q4543697,Q1010282
Q4909646,Q1010282
Q4549597,Q1010282
Q4772325,Q1010282
Q4917974,Q1010282
Q4303069,Q1010282
Q4711581,Q1010282
Q4489851,Q1010282
Q4580963,Q1010282
Q4207254,Q1010282
Q4613072,Q1010282
Q5010744,Q1010282
Q4083984,Q1010282
Q4520792,Q1010282
Q4063048,Q1010282
Q4405421,Q1010282
Q4632175,Q1010282
Q4106832,Q1010282
Q4039039,Q1010282
Q4838446,Q1010282
Q4129095,Q1010282
Q4420867,Q1010282
Q4906804,Q1010282
Q4154384,Q1010282
Q4770688,Q1010282
Q4621300,Q1010282
Q4051069,Q1010282
Q3971016,Q1010282
Q4247666,Q1010282
Q4360241,Q1010282
Q4818700,Q1010282
Q5013027,Q1010282
Q4155135,Q1010282
Q4240171,Q1010282
Q4364102,Q1010282
Q4058101,Q1010282
Q4640245,Q1010282
Q4500708,Q1010282
Q4089078,Q1010282
Q4814425,Q1010282
Q4530796,Q1010282
Q4109704,Q1010282
Q4521712,Q1010282
Q4426675,Q1010282
Q4909568,Q1010282
Q4600344,Q1010282
Q4003764,Q1010282
Q4103659,Q1010282
Q4504160,Q1010282
Q4807023,Q1010282
Q4193259,Q1010282
Q4661609,Q1010282
Q4045455,Q1010282
Q4344895,Q1010282
Q3989778,Q1010282
Q4755077,Q1010282
Q4077784,Q1010282
Q4146575,Q1010282
Q4917399,Q1010282
Q4598312,Q1010282
Q4781828,Q1010282
Q4225929,Q1010282
Q4479402,Q1010282
Q4586363,Q1010282
Q4319249,Q1010282
Q4035320,Q1010282
Q4822613,Q1010282
Q4665415,Q1010282
Q4390778,Q1010282
Q4191801,Q1010282
Q4896438,Q1010282
Q4774270,Q1010282
Q4136526,Q1010282
Q4275740,Q1010282
Q4170152,Q1010282
Q4576320,Q1010282
Q4993107,Q1010282
Q4446673,Q1010282
Q4179112,Q1010282
Q4907853,Q1010282
Q4852473,Q1010282
Q4714419,Q1010282
Q4901946,Q1010282
Q4549592,Q1010282
Q4949644,Q1010282
Q4579196,Q1010282
Q4403363,Q1010282
Q4378664,Q1010282
Q4013525,Q1010282
Q4244265,Q1010282
Q5001287,Q1010282
Q4138154,Q1010282
Q4445739,Q1010282
Q4095313,Q1010282
