?x0,?x1
---------------------------------------
Q3364538,Q1010282
Q3354552,Q1010282
Q3361503,Q1010282
Q3352163,Q1388537
Q3354552,Q1388537
Q3352163,Q1474092
Q3358346,Q1474092
Q3354552,Q1148228
Q3361374,Q1148228
Q3358346,Q1148228
Q3358127,Q1148228
Q3352163,Q1148228
Q3363690,Q1148228
Q3357260,Q1148228
Q3363054,Q1148228
Q3358914,Q1407916
Q3357260,Q1407916
Q3353248,Q1502951
Q3354552,Q1502951
Q3352264,Q1292915
Q3356783,Q1292915
Q3354552,Q1292915
Q3364149,Q1292915
Q3358346,Q1292915
Q3357260,Q1046358
Q3354552,Q1046358
Q3363882,Q1119861
Q3350604,Q1119861
Q3356783,Q1000022
Q3357260,Q1000022
Q3358346,Q1352905
Q3354552,Q1352905
Q3357260,Q1352905
Q3358346,Q1386480
Q3361374,Q1386480
Q3358346,Q1477025
Q3354552,Q1477025
Q3364160,Q1103993
Q3350604,Q1103993
Q3351393,Q1126496
Q3358346,Q1126496
Q3352163,Q1121811
Q3358346,Q1121811
Q3354552,Q1121811
Q3357260,Q1010290
Q3354552,Q1010290
Q3356783,Q1010290
Q3357145,Q1010290
Q3358346,Q1010290
Q3363054,Q1010290
Q3363882,Q1010290
Q3352163,Q1010290
Q3362900,Q1010290
Q3361374,Q1010290
Q3352264,Q1010290
Q3358127,Q1010290
Q3356665,Q1010290
Q3354564,Q1010290
Q3364538,Q1010290
Q3357311,Q1010290
Q3364149,Q1010290
Q3353075,Q1010290
Q3357331,Q1010290
Q3361555,Q1010290
Q3362564,Q1010290
Q3363690,Q1010290
Q3358734,Q1010290
Q3360979,Q1010290
Q3361070,Q1010290
Q3361638,Q1010290
Q3358407,Q1010290
Q3353938,Q1010290
Q3356510,Q1010290
Q3356534,Q1010290
Q3351386,Q1010290
Q3352215,Q1010290
Q3358396,Q1010290
Q3357311,Q1329202
Q3357030,Q1329202
Q3358346,Q1022744
Q3354552,Q1022744
Q3358346,Q1280855
Q3364538,Q1280855
Q3353938,Q1518317
Q3357260,Q1518317
Q3358346,Q1518317
Q3357145,Q1518317
Q3364538,Q1518317
Q3362735,Q1518317
Q3354552,Q1518317
Q3353450,Q1518317
Q3364160,Q1518317
Q3354552,Q1072355
Q3363054,Q1072355
Q3358346,Q1257702
Q3357260,Q1257702
Q3352163,Q1349388
Q3354552,Q1349388
Q3357260,Q1349388
Q3354552,Q1288875
Q3352163,Q1288875
Q3357260,Q1288875
Q3364538,Q1288875
Q3360160,Q1288875
Q3363054,Q1288875
Q3358346,Q1288875
Q3353938,Q1288875
Q3357311,Q1288875
Q3355958,Q1288875
Q3354552,Q1213568
Q3358346,Q1213568
Q3356783,Q1369547
Q3354552,Q1369547
Q3354552,Q1000509
Q3357260,Q1000509
Q3352163,Q1000509
Q3357260,Q1182844
