?x0,?x3
---------------------------------------
Q4611081,Q3365000
Q4919365,Q3365000
Q4865431,Q3365000
Q4471929,Q3365001
Q4136627,Q3365001
Q4612301,Q3365001
Q4941286,Q3365001
Q4580963,Q3365001
Q4783685,Q3365001
Q4828482,Q3365001
Q4312624,Q3365001
Q4085209,Q3365001
Q4659062,Q3365002
Q4191801,Q3365002
Q4155999,Q3365002
Q4003764,Q3365002
Q4122748,Q3365002
Q4818700,Q3365002
Q4391408,Q3365003
Q4256394,Q3365003
Q4559954,Q3365004
Q4987232,Q3365004
Q4842493,Q3365004
Q4819310,Q3365004
Q4913411,Q3365004
Q4475139,Q3365004
Q4970979,Q3365004
Q4416830,Q3365006
Q4156931,Q3365006
Q4470748,Q3365006
Q4132963,Q3365006
Q4907477,Q3365007
Q4690607,Q3365007
Q4284402,Q3365007
Q4919112,Q3365007
Q5014912,Q3365007
Q4572310,Q3365007
Q4819310,Q3365008
Q4784407,Q3365008
Q4065040,Q3365009
Q4613752,Q3365009
Q4082570,Q3365009
Q4557908,Q3365009
Q4919365,Q3365012
Q4470748,Q3365012
Q5013027,Q3365012
Q4354335,Q3365013
Q4679884,Q3365013
Q4904665,Q3365013
Q4601749,Q3365013
Q4949964,Q3365013
Q4766141,Q3365013
Q4031321,Q3365013
Q4715170,Q3365013
Q4901873,Q3365013
Q4799109,Q3365013
Q4148745,Q3365013
Q4594396,Q3365013
Q4580963,Q3365014
Q4659062,Q3365014
Q4901873,Q3365014
Q4823965,Q3365014
Q4548123,Q3365014
Q4856517,Q3365014
Q4225929,Q3365014
Q4220587,Q3365014
Q4039039,Q3365014
Q4266515,Q3365014
Q4616281,Q3365017
Q4144557,Q3365017
Q4100040,Q3365017
Q4919112,Q3365018
Q4039039,Q3365018
Q4580982,Q3365018
Q4730140,Q3365018
Q4896438,Q3365018
Q4547616,Q3365018
Q4556615,Q3365018
Q4515227,Q3365018
Q4724625,Q3365018
Q4027090,Q3365018
Q4548566,Q3365018
Q4719647,Q3365018
Q4783685,Q3365021
Q4225929,Q3365021
Q4896438,Q3365021
Q4431283,Q3365021
Q4809204,Q3365021
Q4309875,Q3365021
Q4020396,Q3365021
Q4527078,Q3365021
Q4940804,Q3365021
Q4580963,Q3365022
Q4659062,Q3365022
Q4901873,Q3365022
Q4397280,Q3365022
Q4669038,Q3365022
Q4311499,Q3365022
Q4838446,Q3365022
Q4043354,Q3365022
Q4896932,Q3365022
Q3974519,Q3365022
Q4675190,Q3365022
Q4634513,Q3365022
Q4843348,Q3365024
Q4812974,Q3365024
