?x0,?x1
---------------------------------------
Q1097149,Q1050006
Q1050006,Q1050006
Q143886,Q1405647
Q1405647,Q1405647
Q758499,Q1156723
Q1156723,Q1156723
Q1504410,Q1124570
Q1124570,Q1124570
Q167714,Q1198584
Q1198584,Q1198584
Q176026,Q1523196
Q1523196,Q1523196
Q976631,Q1367897
Q1367897,Q1367897
Q268840,Q1221617
Q1221617,Q1221617
Q1544865,Q1049904
Q1049904,Q1049904
Q215840,Q1168353
Q1168353,Q1168353
Q1545652,Q1474888
Q1474888,Q1474888
Q818804,Q1094563
Q1094563,Q1094563
Q246331,Q1033983
Q1033983,Q1033983
Q402051,Q1291512
Q1291512,Q1291512
Q1105977,Q1233329
Q1233329,Q1233329
Q1466850,Q1448450
Q1448450,Q1448450
Q1386742,Q1343233
Q1343233,Q1343233
Q668998,Q1002616
Q1002616,Q1002616
Q1514913,Q1457175
Q1457175,Q1457175
Q1225940,Q1467468
Q1467468,Q1467468
Q914030,Q1080413
Q1080413,Q1080413
Q770409,Q1222444
Q1222444,Q1222444
Q1044391,Q1171098
Q1171098,Q1171098
Q901780,Q1183936
Q1183936,Q1183936
Q1527532,Q1060792
Q1060792,Q1060792
Q142618,Q1148435
Q1148435,Q1148435
Q1221554,Q1045911
Q1045911,Q1045911
Q1430557,Q1068777
Q1068777,Q1068777
Q44027,Q1182055
Q1182055,Q1182055
Q652146,Q1547084
Q1547084,Q1547084
Q121453,Q1482182
Q1482182,Q1482182
Q87144,Q1086527
Q1086527,Q1086527
Q866006,Q1355452
Q1355452,Q1355452
Q269657,Q1079299
Q1079299,Q1079299
Q731097,Q1425967
Q1425967,Q1425967
Q38875,Q1221338
Q1221338,Q1221338
Q1421297,Q1160613
Q1160613,Q1160613
Q1305414,Q1455470
Q1455470,Q1455470
Q1400540,Q1502351
Q1502351,Q1502351
Q465347,Q1333029
Q1333029,Q1333029
Q445098,Q1356880
Q1356880,Q1356880
Q457733,Q1301402
Q1301402,Q1301402
Q716198,Q1355733
Q1355733,Q1355733
Q422680,Q1434860
Q1434860,Q1434860
Q1085753,Q1446883
Q1446883,Q1446883
Q741680,Q1318425
Q1318425,Q1318425
Q990988,Q1407662
Q1407662,Q1407662
Q327065,Q1325288
Q1325288,Q1325288
Q1303808,Q1484665
Q1484665,Q1484665
Q1136278,Q1114055
Q1114055,Q1114055
Q1153917,Q1392024
Q1392024,Q1392024
Q807375,Q1196159
Q1196159,Q1196159
Q88122,Q1147746
Q1147746,Q1147746
Q148032,Q1181590
Q1181590,Q1181590
Q633407,Q1048418
Q1048418,Q1048418
Q826919,Q1394975
Q1394975,Q1394975
Q1076313,Q1364228
Q1364228,Q1364228
Q777258,Q1165311
Q1165311,Q1165311
Q508506,Q1349351
Q1349351,Q1349351
Q1317135,Q1142082
Q1142082,Q1142082
Q357030,Q1460986
Q1460986,Q1460986
Q1157195,Q1185050
Q1185050,Q1185050
Q922589,Q1140356
Q1140356,Q1140356
Q1531034,Q1411071
Q1411071,Q1411071
Q711997,Q1200245
Q1200245,Q1200245
Q1462144,Q1529609
Q1529609,Q1529609
Q1269151,Q1236465
Q1236465,Q1236465
Q281280,Q1028257
Q1028257,Q1028257
Q646250,Q1056027
Q1056027,Q1056027
Q58293,Q1269102
Q1269102,Q1269102
Q1036647,Q1369165
Q1369165,Q1369165
Q662728,Q1030832
Q1030832,Q1030832
Q37973,Q1116033
Q1116033,Q1116033
Q66112,Q1377152
Q1377152,Q1377152
Q420758,Q1087243
Q1087243,Q1087243
Q390918,Q1480397
Q1480397,Q1480397
Q839854,Q1065614
Q1065614,Q1065614
Q992418,Q1078476
Q1078476,Q1078476
Q414694,Q1545421
Q1545421,Q1545421
Q776317,Q1148324
Q1148324,Q1148324
Q1548078,Q1322465
Q1322465,Q1322465
Q49008,Q1123417
Q1123417,Q1123417
Q1543296,Q1193020
Q1193020,Q1193020
Q208533,Q1210254
Q1210254,Q1210254
Q1094287,Q1176487
Q1176487,Q1176487
Q861523,Q1335307
Q1335307,Q1335307
Q425700,Q1110541
Q1110541,Q1110541
Q961375,Q1063034
Q1063034,Q1063034
Q249671,Q1482194
Q1482194,Q1482194
Q13849,Q1016229
Q1016229,Q1016229
Q763836,Q1215677
Q1215677,Q1215677
Q513365,Q1219924
Q1219924,Q1219924
Q884476,Q1487453
Q1487453,Q1487453
Q266663,Q1332364
Q1332364,Q1332364
Q277781,Q1066885
Q1066885,Q1066885
Q1087777,Q1028759
Q1028759,Q1028759
Q1309381,Q1325526
Q1325526,Q1325526
Q1530900,Q1442515
Q1442515,Q1442515
Q1069793,Q1034914
Q1034914,Q1034914
Q1335414,Q1429712
Q1429712,Q1429712
Q115500,Q1044029
Q1044029,Q1044029
Q291500,Q1076653
Q1076653,Q1076653
Q1425240,Q1254161
Q1254161,Q1254161
Q171608,Q1063892
Q1063892,Q1063892
Q80549,Q1527311
Q1527311,Q1527311
Q1435751,Q1306996
Q1306996,Q1306996
Q330895,Q1177174
Q1177174,Q1177174
Q250213,Q1467183
Q1467183,Q1467183
Q1535611,Q1483964
Q1483964,Q1483964
Q670378,Q1062394
Q1062394,Q1062394
Q631750,Q1340608
Q1340608,Q1340608
Q1520117,Q1000861
Q1000861,Q1000861
Q902842,Q1288003
Q1288003,Q1288003
Q1164967,Q1480574
Q1480574,Q1480574
Q532566,Q1436221
Q1436221,Q1436221
Q927197,Q1067635
Q1067635,Q1067635
Q1147206,Q1365803
Q1365803,Q1365803
Q1001084,Q1315751
Q1315751,Q1315751
Q405692,Q1065581
Q1065581,Q1065581
Q1420509,Q1039930
Q1039930,Q1039930
Q468599,Q1162354
Q1162354,Q1162354
Q1521466,Q1002488
Q1002488,Q1002488
Q395979,Q1105114
Q1105114,Q1105114
Q879205,Q1463775
Q1463775,Q1463775
Q558676,Q1044457
Q1044457,Q1044457
Q514654,Q1421834
Q1421834,Q1421834
Q1405138,Q1538623
Q457115,Q1538623
Q1538623,Q1538623
Q1433365,Q1146743
Q1146743,Q1146743
Q1211587,Q1034423
Q1034423,Q1034423
Q1276379,Q1162562
Q1162562,Q1162562
Q34617,Q1049432
Q1049432,Q1049432
Q750401,Q1185347
Q1185347,Q1185347
Q761690,Q1082579
Q1082579,Q1082579
Q1137601,Q1203126
Q1203126,Q1203126
Q589621,Q1323231
Q1323231,Q1323231
Q612849,Q1248691
Q1248691,Q1248691
Q816767,Q1053753
Q1053753,Q1053753
Q204370,Q1508728
Q1508728,Q1508728
Q548354,Q1078809
Q1078809,Q1078809
Q671645,Q1123975
Q1123975,Q1123975
Q438243,Q1483608
Q1483608,Q1483608
Q1529492,Q1315617
Q1315617,Q1315617
Q805024,Q1188786
Q1188786,Q1188786
Q729223,Q1509819
Q1509819,Q1509819
Q517361,Q1235845
Q1235845,Q1235845
Q369914,Q1150225
Q1150225,Q1150225
Q133398,Q1468689
Q1468689,Q1468689
Q1545568,Q1096986
Q1096986,Q1096986
Q667342,Q1111407
Q1111407,Q1111407
Q1108783,Q1237777
Q1237777,Q1237777
Q882335,Q1549967
Q1549967,Q1549967
Q302799,Q1066889
Q1066889,Q1066889
Q1168166,Q1212575
Q1212575,Q1212575
Q1477984,Q1548717
Q1548717,Q1548717
Q143321,Q1252935
Q1252935,Q1252935
Q155629,Q1522323
Q1522323,Q1522323
Q161134,Q1090943
Q1090943,Q1090943
Q453747,Q1264698
Q1264698,Q1264698
Q687251,Q1234933
Q1234933,Q1234933
Q629815,Q1325036
Q1325036,Q1325036
Q1261817,Q1288990
Q1392317,Q1288990
Q1288990,Q1288990
Q236805,Q1170460
Q1170460,Q1170460
Q745742,Q1073120
Q1073120,Q1073120
Q206524,Q1242522
Q1242522,Q1242522
Q1033859,Q1435684
Q1435684,Q1435684
Q1161360,Q1165317
Q1165317,Q1165317
Q884660,Q1376658
Q1376658,Q1376658
Q474115,Q1232082
Q1232082,Q1232082
Q32146,Q1171476
