?x0,?x1
---------------------------------------
Q330028,Q3365000
Q1459235,Q3365000
Q1331629,Q3365000
Q109422,Q3365000
Q168907,Q3365000
Q150307,Q3365000
Q758470,Q3365000
Q725931,Q3365000
Q785320,Q3365000
Q61336,Q3365000
Q1330120,Q3365000
Q429060,Q3365000
Q1148376,Q3365000
Q963420,Q3365000
Q1174821,Q3365000
Q139929,Q3365000
Q918228,Q3365000
Q1369702,Q3365000
Q260030,Q3365000
Q1032905,Q3365000
Q1279520,Q3365000
Q245615,Q3365000
Q661195,Q3365000
Q824932,Q3365000
Q301627,Q3365000
Q168902,Q3365000
Q812635,Q3365000
Q59903,Q3365000
Q434087,Q3365000
Q1500444,Q3365000
Q747433,Q3365000
Q1311914,Q3365000
Q165171,Q3365000
Q314613,Q3365000
Q1393266,Q3365000
Q843517,Q3365000
Q597593,Q3365000
Q391140,Q3365000
Q324209,Q3365000
Q698470,Q3365000
Q1294771,Q3365000
Q344911,Q3365000
Q1208216,Q3365000
Q1316545,Q3365000
Q1046187,Q3365000
Q973384,Q3365000
Q191348,Q3365000
Q1435274,Q3365000
Q243983,Q3365000
Q1131285,Q3365000
Q703202,Q3365000
Q355620,Q3365000
Q254776,Q3365000
Q65523,Q3365000
Q825044,Q3365000
Q79945,Q3365000
Q154154,Q3365000
Q415087,Q3365000
Q1401881,Q3365000
Q1424892,Q3365000
Q884057,Q3365000
Q1200934,Q3365000
Q826672,Q3365000
Q97656,Q3365000
Q722732,Q3365000
Q206041,Q3365000
Q728700,Q3365000
Q992928,Q3365000
Q1007671,Q3365000
Q1433482,Q3365000
Q696402,Q3365000
Q810476,Q3365000
Q56368,Q3365000
Q237382,Q3365000
Q965107,Q3365000
Q961670,Q3365000
Q109284,Q3365000
Q924846,Q3365000
Q419575,Q3365000
Q53512,Q3365000
Q389439,Q3365000
Q1135652,Q3365000
Q47747,Q3365000
Q734256,Q3365000
Q172206,Q3365000
Q417522,Q3365000
Q845627,Q3365000
Q366190,Q3365000
Q1286454,Q3365000
Q636545,Q3365000
Q56004,Q3365000
Q1206145,Q3365000
Q5314,Q3365000
Q1352097,Q3365000
Q1304076,Q3365000
Q676778,Q3365000
Q1428826,Q3365000
Q1049915,Q3365000
Q1167774,Q3365000
Q371810,Q3365000
Q412925,Q3365000
Q1303668,Q3365000
Q1151980,Q3365000
Q780422,Q3365000
Q917215,Q3365000
Q536751,Q3365000
Q1179115,Q3365000
Q147891,Q3365000
Q879268,Q3365000
Q843304,Q3365000
Q902425,Q3365000
Q643943,Q3365000
Q1069367,Q3365000
Q1117640,Q3365000
Q144659,Q3365000
Q1026996,Q3365000
Q108197,Q3365000
Q386618,Q3365000
Q156351,Q3365000
Q290276,Q3365000
Q1304565,Q3365000
Q1282461,Q3365000
Q1316010,Q3365000
Q1533818,Q3365000
Q291532,Q3365000
Q151986,Q3365000
Q123387,Q3365000
Q664662,Q3365000
Q2181,Q3365000
Q1375863,Q3365000
Q1536945,Q3365000
Q1014180,Q3365000
Q177034,Q3365000
Q657617,Q3365000
Q729695,Q3365000
Q1421526,Q3365000
Q960227,Q3365000
Q28977,Q3365000
Q976746,Q3365000
Q1142159,Q3365000
Q1220370,Q3365000
Q277274,Q3365000
Q720532,Q3365000
Q1535427,Q3365000
Q863738,Q3365000
Q732668,Q3365000
Q217001,Q3365000
Q634140,Q3365000
Q370531,Q3365000
Q1487120,Q3365000
Q1401271,Q3365000
Q397607,Q3365000
Q1018877,Q3365000
Q224894,Q3365000
Q525096,Q3365000
Q754476,Q3365000
Q1109242,Q3365000
Q1001257,Q3365000
Q687245,Q3365000
Q1264779,Q3365000
Q287229,Q3365000
Q916879,Q3365000
Q422223,Q3365000
Q761451,Q3365000
Q1181537,Q3365000
Q373242,Q3365000
Q1022362,Q3365000
Q977465,Q3365000
Q1119761,Q3365000
Q875767,Q3365000
Q1265184,Q3365000
Q424166,Q3365000
Q1501871,Q3365000
Q380894,Q3365000
Q1028810,Q3365000
Q833630,Q3365000
Q223753,Q3365000
Q1460954,Q3365000
Q531935,Q3365000
Q472351,Q3365000
Q824432,Q3365000
Q1368139,Q3365000
Q168181,Q3365000
Q1124741,Q3365000
Q766954,Q3365000
Q424784,Q3365000
Q330018,Q3365000
Q1011465,Q3365000
Q1067154,Q3365000
Q782876,Q3365000
Q614177,Q3365000
Q1331691,Q3365000
Q106746,Q3365000
Q607650,Q3365000
Q1148228,Q3365000
Q37089,Q3365000
Q77370,Q3365000
Q1083467,Q3365000
Q566862,Q3365000
Q1117686,Q3365000
Q836826,Q3365000
Q878644,Q3365000
Q802320,Q3365000
Q121729,Q3365000
Q107358,Q3365000
Q1379675,Q3365000
Q1522326,Q3365000
Q652217,Q3365000
Q436741,Q3365000
Q114828,Q3365000
Q1273228,Q3365000
Q230937,Q3365000
Q445873,Q3365000
Q672944,Q3365000
Q304702,Q3365000
Q146370,Q3365000
Q481788,Q3365000
Q504973,Q3365000
Q861377,Q3365000
Q1429712,Q3365000
Q520585,Q3365000
Q1041622,Q3365000
Q1511945,Q3365000
Q296641,Q3365000
Q1412047,Q3365000
Q285552,Q3365000
Q1239520,Q3365000
Q322067,Q3365000
Q1177174,Q3365000
Q1254481,Q3365000
Q735664,Q3365000
Q793720,Q3365000
Q917910,Q3365000
Q1239804,Q3365000
Q1376660,Q3365000
Q73289,Q3365000
Q337050,Q3365000
Q764981,Q3365000
Q447294,Q3365000
Q1009291,Q3365000
Q1132983,Q3365000
Q693577,Q3365000
Q640812,Q3365000
Q652846,Q3365000
Q1466995,Q3365000
Q341217,Q3365000
Q1169751,Q3365000
Q1120244,Q3365000
Q601552,Q3365000
Q289542,Q3365000
Q83110,Q3365000
Q1257567,Q3365000
Q594533,Q3365000
Q1301519,Q3365000
Q525152,Q3365000
Q1333116,Q3365000
Q616574,Q3365000
Q1227817,Q3365000
Q1051884,Q3365000
Q286113,Q3365000
Q962017,Q3365000
Q1546744,Q3365000
Q130113,Q3365000
Q1015627,Q3365000
Q964798,Q3365000
Q645087,Q3365000
Q463186,Q3365000
Q837846,Q3365000
