?x2,?x3
---------------------------------------
Q5016295,Q3365000
Q5017900,Q3365001
Q5017900,Q3365002
Q5016430,Q3365003
Q5016763,Q3365004
Q5016907,Q3365005
Q5016482,Q3365006
Q5017464,Q3365007
Q5017558,Q3365008
Q5016744,Q3365009
Q5016511,Q3365010
Q5017546,Q3365011
Q5016913,Q3365012
Q5017546,Q3365013
Q5016295,Q3365014
Q5016812,Q3365015
Q5016295,Q3365016
Q5017900,Q3365017
Q5016763,Q3365018
Q5016295,Q3365019
Q5018107,Q3365020
Q5016901,Q3365021
Q5016511,Q3365022
Q5016692,Q3365023
Q5017900,Q3365024
Q5016430,Q3365025
Q5016901,Q3365026
Q5016710,Q3365027
Q5017248,Q3365028
Q5016430,Q3365029
Q5016867,Q3365030
Q5016430,Q3365031
Q5016511,Q3365032
Q5016295,Q3365033
Q5017875,Q3365034
Q5017501,Q3365035
Q5016984,Q3365036
Q5016763,Q3365037
Q5018107,Q3365038
Q5016763,Q3365039
Q5018107,Q3365040
Q5016535,Q3365041
Q5016523,Q3365042
Q5017900,Q3365043
Q5017546,Q3365044
Q5017546,Q3365045
Q5017464,Q3365046
Q5016402,Q3365047
Q5017464,Q3365048
Q5016295,Q3365049
Q5016402,Q3365050
Q5016943,Q3365051
Q5016430,Q3365052
Q5016710,Q3365053
Q5017900,Q3365054
Q5017194,Q3365055
Q5016430,Q3365056
Q5016221,Q3365057
Q5017194,Q3365058
Q5017834,Q3365059
Q5016511,Q3365060
Q5016511,Q3365061
Q5016511,Q3365062
Q5018107,Q3365063
Q5018027,Q3365064
Q5017777,Q3365065
Q5017194,Q3365066
Q5018107,Q3365067
Q5016763,Q3365068
Q5018027,Q3365069
Q5016295,Q3365070
Q5016295,Q3365071
Q5016872,Q3365072
Q5017194,Q3365073
Q5016763,Q3365074
Q5016402,Q3365075
Q5017900,Q3365076
Q5016710,Q3365077
Q5016430,Q3365078
Q5017194,Q3365079
Q5017345,Q3365080
Q5017900,Q3365081
Q5016763,Q3365082
Q5017689,Q3365083
Q5018069,Q3365084
Q5017777,Q3365085
Q5017760,Q3365086
Q5017194,Q3365087
Q5016511,Q3365088
Q5018107,Q3365089
Q5016430,Q3365090
Q5016430,Q3365091
Q5017900,Q3365092
Q5017194,Q3365093
Q5016430,Q3365094
Q5017464,Q3365095
Q5016295,Q3365096
Q5017900,Q3365097
Q5017584,Q3365098
Q5017194,Q3365099
Q5018107,Q3365100
Q5016295,Q3365101
Q5018027,Q3365102
Q5016482,Q3365103
Q5016901,Q3365104
Q5016511,Q3365105
Q5016511,Q3365106
Q5016685,Q3365107
Q5016295,Q3365108
Q5016763,Q3365109
Q5017545,Q3365110
Q5017900,Q3365111
Q5016430,Q3365112
Q5017900,Q3365113
Q5016511,Q3365114
Q5018027,Q3365115
Q5017194,Q3365116
Q5016965,Q3365117
Q5018107,Q3365118
Q5016907,Q3365119
Q5018107,Q3365120
Q5016984,Q3365121
Q5016430,Q3365122
Q5018027,Q3365123
Q5017158,Q3365124
Q5016402,Q3365125
Q5018107,Q3365126
Q5017900,Q3365127
Q5016907,Q3365128
Q5017194,Q3365129
Q5017625,Q3365130
Q5016295,Q3365131
Q5017194,Q3365132
Q5016402,Q3365133
Q5017811,Q3365134
Q5018027,Q3365135
Q5017900,Q3365136
Q5017353,Q3365137
Q5017194,Q3365138
Q5016451,Q3365139
Q5018107,Q3365140
Q5018189,Q3365141
Q5018107,Q3365142
Q5018107,Q3365143
Q5016511,Q3365144
Q5017546,Q3365145
Q5017900,Q3365146
Q5017777,Q3365147
Q5018107,Q3365148
Q5018107,Q3365149
Q5016511,Q3365150
Q5017194,Q3365151
Q5018107,Q3365152
Q5016763,Q3365153
Q5017900,Q3365154
Q5017900,Q3365155
Q5017546,Q3365156
