?x0,?x3
---------------------------------------
Q3965357,Q3365000
Q3965056,Q3365000
Q3965809,Q3365000
Q3966129,Q3365000
Q3965188,Q3365000
Q3965234,Q3365000
Q3965916,Q3365000
Q3965249,Q3365000
Q3965067,Q3365000
Q3965434,Q3365000
Q3965794,Q3365000
Q3965890,Q3365000
Q3965153,Q3365000
Q3966113,Q3365000
Q3966100,Q3365000
Q3965678,Q3365000
Q3965683,Q3365000
Q3965260,Q3365000
Q3965055,Q3365000
Q3965591,Q3365000
Q3965413,Q3365000
Q3965380,Q3365000
Q3965336,Q3365000
Q3965634,Q3365000
Q3965855,Q3365000
Q3965306,Q3365000
Q3965470,Q3365000
Q3965252,Q3365000
Q3965081,Q3365000
Q3966057,Q3365000
Q3965328,Q3365000
Q3965517,Q3365000
Q3965681,Q3365000
Q3965974,Q3365000
Q3966166,Q3365000
Q3966128,Q3365000
Q3965749,Q3365000
Q3965803,Q3365000
Q3965331,Q3365000
Q3965810,Q3365000
Q3965742,Q3365000
Q3966112,Q3365000
Q3965575,Q3365000
Q3965009,Q3365000
Q3965155,Q3365000
Q3965629,Q3365000
Q3965856,Q3365000
Q3965492,Q3365000
Q3965774,Q3365000
Q3965354,Q3365000
Q3965308,Q3365000
Q3965943,Q3365000
Q3965876,Q3365000
Q3965325,Q3365000
Q3965347,Q3365000
Q3965569,Q3365000
Q3965190,Q3365000
Q3965838,Q3365000
Q3965801,Q3365000
Q3966036,Q3365000
Q3965028,Q3365000
Q3965295,Q3365000
Q3965584,Q3365000
Q3965415,Q3365000
Q3965769,Q3365000
Q3965869,Q3365000
Q3966018,Q3365000
Q3965703,Q3365000
Q3965394,Q3365000
Q3965758,Q3365000
Q3965008,Q3365000
Q3965937,Q3365000
Q3965874,Q3365000
Q3965466,Q3365000
Q3965433,Q3365000
Q3965037,Q3365000
Q3965521,Q3365000
Q3965550,Q3365000
Q3965439,Q3365000
Q3965513,Q3365000
Q3965476,Q3365000
Q3965323,Q3365000
Q3965043,Q3365000
Q3966043,Q3365000
Q3965515,Q3365000
Q3965930,Q3365000
Q3965348,Q3365000
Q3965982,Q3365000
Q3965090,Q3365000
Q3965732,Q3365000
Q3966086,Q3365000
Q3965370,Q3365000
Q3965921,Q3365000
Q3965840,Q3365000
Q3965424,Q3365000
Q3965668,Q3365000
Q3966164,Q3365000
Q3965933,Q3365000
Q3965661,Q3365000
Q3966070,Q3365000
Q3966181,Q3365000
Q3965993,Q3365000
Q3965478,Q3365000
Q3965522,Q3365000
Q3965970,Q3365000
Q3966171,Q3365000
Q3965850,Q3365000
Q3965163,Q3365000
Q3965795,Q3365000
Q3965929,Q3365000
Q3965007,Q3365000
Q3965092,Q3365000
Q3965573,Q3365000
Q3966014,Q3365000
Q3966169,Q3365000
Q3965465,Q3365000
Q3965926,Q3365000
Q3966177,Q3365000
Q3965230,Q3365000
Q3965948,Q3365000
Q3965411,Q3365000
Q3965596,Q3365000
Q3965973,Q3365000
Q3965110,Q3365000
Q3966110,Q3365000
Q3965540,Q3365000
Q3965151,Q3365000
Q3965121,Q3365000
Q3965491,Q3365000
Q3965143,Q3365000
Q3965100,Q3365000
Q3965859,Q3365000
Q3966022,Q3365000
Q3965088,Q3365000
Q3965276,Q3365000
Q3965579,Q3365000
Q3965635,Q3365000
Q3965656,Q3365000
Q3965552,Q3365000
Q3965622,Q3365000
Q3965623,Q3365000
Q3965364,Q3365000
Q3965002,Q3365000
Q3965842,Q3365000
Q3966173,Q3365000
Q3965952,Q3365000
Q3965708,Q3365000
Q3965065,Q3365000
Q3966194,Q3365000
Q3965711,Q3365000
Q3966024,Q3365000
Q3965693,Q3365000
Q3965178,Q3365000
Q3965984,Q3365000
Q3965610,Q3365000
Q3966023,Q3365000
Q3965544,Q3365000
Q3966114,Q3365000
Q3965847,Q3365000
Q3965667,Q3365000
Q3965641,Q3365000
Q3965363,Q3365000
Q3965893,Q3365000
Q3965706,Q3365000
Q3965221,Q3365000
Q3965117,Q3365000
Q3965284,Q3365000
Q3965235,Q3365000
Q3966127,Q3365000
Q3965166,Q3365000
Q3965944,Q3365000
Q3965167,Q3365000
Q3965427,Q3365000
Q3965401,Q3365000
Q3965165,Q3365000
Q3965144,Q3365000
Q3965597,Q3365000
Q3965412,Q3365000
Q3966002,Q3365000
Q3965686,Q3365000
Q3965743,Q3365000
Q3965200,Q3365000
Q3965574,Q3365000
Q3965160,Q3365000
Q3965341,Q3365000
Q3966012,Q3365000
Q3966115,Q3365000
Q3965533,Q3365000
Q3965484,Q3365000
Q3966037,Q3365000
Q3966076,Q3365000
Q3965889,Q3365000
Q3965237,Q3365000
Q3965995,Q3365000
Q3965954,Q3365000
Q3965316,Q3365000
Q3965536,Q3365000
Q3966080,Q3365000
Q3965358,Q3365000
Q3965501,Q3365000
Q3965330,Q3365000
Q3965530,Q3365000
Q3965712,Q3365000
Q3965344,Q3365000
Q3965920,Q3365000
Q3966183,Q3365000
Q3965441,Q3365000
Q3965996,Q3365000
Q3965285,Q3365000
Q3966125,Q3365000
Q3965421,Q3365000
Q3966010,Q3365000
Q3965862,Q3365000
Q3966157,Q3365000
Q3965030,Q3365000
Q3965761,Q3365000
Q3965510,Q3365000
Q3965671,Q3365000
Q3965225,Q3365000
Q3965256,Q3365000
Q3965288,Q3365000
Q3965698,Q3365000
Q3965870,Q3365000
Q3965992,Q3365000
Q3965723,Q3365000
Q3965953,Q3365000
Q3965120,Q3365000
Q3965604,Q3365000
Q3965800,Q3365000
Q3965858,Q3365000
Q3965556,Q3365000
Q3965523,Q3365000
Q3966056,Q3365000
Q3965730,Q3365000
Q3965827,Q3365000
Q3965495,Q3365000
Q3965137,Q3365000
Q3965780,Q3365000
Q3965217,Q3365000
Q3965264,Q3365000
Q3965350,Q3365000
Q3966038,Q3365000
Q3965445,Q3365000
Q3965927,Q3365000
Q3965222,Q3365000
Q3966098,Q3365000
Q3965669,Q3365000
Q3965500,Q3365000
Q3965784,Q3365000
Q3965197,Q3365000
Q3965679,Q3365000
Q3965792,Q3365000
Q3965111,Q3365000
Q3965537,Q3365000
Q3965304,Q3365000
Q3965429,Q3365000
Q3965122,Q3365000
Q3966044,Q3365000
Q3966142,Q3365000
Q3966191,Q3365000
Q3965822,Q3365000
Q3965023,Q3365000
Q3965118,Q3365000
Q3966199,Q3365000
Q3965469,Q3365000
Q3965202,Q3365000
Q3965012,Q3365000
Q3965618,Q3365000
Q3965270,Q3365000
Q3966175,Q3365000
Q3965715,Q3365000
Q3965115,Q3365000
Q3965108,Q3365000
Q3965987,Q3365000
Q3965594,Q3365000
Q3965459,Q3365000
Q3965201,Q3365000
Q3965038,Q3365000
Q3966140,Q3365000
Q3965033,Q3365000
Q3965371,Q3365000
Q3965849,Q3365000
Q3965527,Q3365000
Q3965398,Q3365000
Q3965625,Q3365000
Q3965416,Q3365000
Q3966092,Q3365000
Q3965818,Q3365000
Q3965776,Q3365000
Q3965140,Q3365000
Q3965554,Q3365000
Q3965091,Q3365000
Q3965406,Q3365000
Q3965830,Q3365000
Q3965219,Q3365000
Q3965964,Q3365000
Q3965738,Q3365000
Q3966029,Q3365000
Q3966184,Q3365000
Q3965277,Q3365000
Q3965638,Q3365000
Q3966035,Q3365000
Q3965906,Q3365000
Q3965873,Q3365000
Q3966020,Q3365000
Q3965646,Q3365000
Q3965687,Q3365000
Q3966067,Q3365000
Q3966149,Q3365000
Q3965773,Q3365000
Q3966165,Q3365000
Q3966027,Q3365000
Q3965290,Q3365000
Q3966065,Q3365000
Q3966102,Q3365000
Q3965538,Q3365000
Q3965020,Q3365000
Q3965729,Q3365000
Q3966101,Q3365000
Q3965851,Q3365000
Q3966161,Q3365000
Q3965493,Q3365000
Q3965209,Q3365000
Q3965346,Q3365000
Q3965076,Q3365000
Q3965123,Q3365000
Q3965211,Q3365000
Q3966030,Q3365000
Q3965248,Q3365000
Q3965965,Q3365000
Q3965643,Q3365000
Q3966099,Q3365000
