?x1,?x2
---------------------------------------
Q5016482,Q1010282
Q5016763,Q1010282
Q5018107,Q1010282
Q5016685,Q1010282
Q5018069,Q1474092
Q5018027,Q1148228
Q5016295,Q1148228
Q5017194,Q1148228
Q5016402,Q1148228
Q5018107,Q1148228
Q5016511,Q1148228
Q5016685,Q1148228
Q5016763,Q1148228
Q5017900,Q1148228
Q5016763,Q1502951
Q5017546,Q1502951
Q5016984,Q1502951
Q5017900,Q1502951
Q5017194,Q1502951
Q5016351,Q1502951
Q5016430,Q1502951
Q5016482,Q1502951
Q5016511,Q1502951
Q5018107,Q1502951
Q5017777,Q1502951
Q5018027,Q1502951
Q5016295,Q1502951
Q5018034,Q1502951
Q5016399,Q1502951
Q5016402,Q1502951
Q5016710,Q1502951
Q5017071,Q1502951
Q5017345,Q1502951
Q5016907,Q1502951
Q5017464,Q1502951
Q5017875,Q1502951
Q5016451,Q1502951
Q5017519,Q1502951
Q5017584,Q1502951
Q5016923,Q1502951
Q5016872,Q1502951
Q5017324,Q1502951
Q5016867,Q1502951
Q5017589,Q1502951
Q5016685,Q1502951
Q5017966,Q1502951
Q5016447,Q1502951
Q5017760,Q1502951
Q5018169,Q1502951
Q5017370,Q1502951
Q5017661,Q1502951
Q5017811,Q1502951
Q5018005,Q1502951
Q5017158,Q1502951
Q5017194,Q1046358
Q5017546,Q1046358
Q5017900,Q1046358
Q5016295,Q1046358
Q5016710,Q1046358
Q5017584,Q1046358
Q5018027,Q1046358
Q5018005,Q1046358
Q5017043,Q1046358
Q5016511,Q1046358
Q5016430,Q1046358
Q5016872,Q1046358
Q5016984,Q1046358
Q5017777,Q1046358
Q5018107,Q1046358
Q5017353,Q1046358
Q5017218,Q1046358
Q5017464,Q1046358
Q5017158,Q1046358
Q5017760,Q1046358
Q5017547,Q1046358
Q5018189,Q1046358
Q5017661,Q1046358
Q5016763,Q1046358
Q5016402,Q1046358
Q5018169,Q1046358
Q5016965,Q1046358
Q5016907,Q1046358
Q5016678,Q1046358
Q5017501,Q1046358
Q5016399,Q1046358
Q5016901,Q1046358
Q5017186,Q1046358
Q5017589,Q1046358
Q5016482,Q1046358
Q5016685,Q1046358
Q5016913,Q1046358
Q5016523,Q1046358
Q5016812,Q1046358
Q5017811,Q1046358
Q5016216,Q1046358
Q5018069,Q1046358
Q5018032,Q1046358
Q5017301,Q1046358
Q5016892,Q1046358
Q5017315,Q1046358
Q5016616,Q1046358
Q5016986,Q1046358
Q5016446,Q1046358
Q5018034,Q1046358
Q5016810,Q1046358
Q5017182,Q1046358
Q5017099,Q1046358
Q5016850,Q1046358
Q5016902,Q1046358
Q5017559,Q1046358
Q5017370,Q1046358
Q5016488,Q1046358
Q5017071,Q1046358
Q5018132,Q1046358
Q5018094,Q1046358
Q5016497,Q1046358
Q5017345,Q1046358
Q5017110,Q1046358
Q5018006,Q1046358
Q5017558,Q1046358
Q5016867,Q1046358
Q5016260,Q1046358
Q5017229,Q1046358
Q5016744,Q1046358
Q5016908,Q1046358
Q5016663,Q1046358
Q5017689,Q1046358
Q5017875,Q1046358
Q5017011,Q1046358
Q5017564,Q1046358
Q5017834,Q1046358
Q5018156,Q1046358
Q5017044,Q1046358
Q5017080,Q1046358
Q5016765,Q1046358
Q5017316,Q1046358
Q5016221,Q1046358
Q5016396,Q1046358
Q5016540,Q1046358
Q5017978,Q1046358
Q5017777,Q1119861
Q5016763,Q1119861
Q5017194,Q1119861
Q5016295,Q1119861
Q5017464,Q1119861
Q5016511,Q1119861
Q5017900,Q1119861
Q5018107,Q1119861
Q5016901,Q1119861
Q5016986,Q1119861
Q5016430,Q1119861
Q5018169,Q1119861
Q5017381,Q1119861
Q5017546,Q1119861
Q5016984,Q1119861
Q5016482,Q1119861
Q5017547,Q1119861
Q5017811,Q1119861
Q5016447,Q1119861
Q5017501,Q1119861
Q5017760,Q1352905
Q5018027,Q1352905
Q5017194,Q1352905
Q5017353,Q1352905
Q5016402,Q1352905
Q5016295,Q1352905
Q5017546,Q1352905
Q5016482,Q1352905
Q5018107,Q1352905
Q5016763,Q1352905
Q5016511,Q1352905
Q5018169,Q1386480
Q5016402,Q1386480
Q5016763,Q1386480
Q5017194,Q1386480
Q5016482,Q1386480
Q5016295,Q1386480
Q5017900,Q1386480
Q5016430,Q1477025
Q5016260,Q1477025
Q5018107,Q1477025
Q5017900,Q1477025
Q5016511,Q1477025
Q5016984,Q1477025
Q5018069,Q1477025
Q5016402,Q1477025
Q5016692,Q1477025
Q5018132,Q1477025
Q5016678,Q1477025
Q5016295,Q1477025
Q5017464,Q1477025
Q5018107,Q1103993
Q5017370,Q1103993
Q5016295,Q1103993
Q5017464,Q1103993
Q5018027,Q1103993
Q5017194,Q1103993
Q5017900,Q1103993
Q5018107,Q1121811
Q5017900,Q1121811
Q5017370,Q1010290
Q5016867,Q1010290
Q5017900,Q1329202
Q5016984,Q1329202
Q5016399,Q1329202
Q5016224,Q1329202
Q5016511,Q1329202
Q5016482,Q1329202
Q5018107,Q1329202
Q5016710,Q1329202
Q5018169,Q1329202
Q5016295,Q1329202
Q5017546,Q1329202
Q5016763,Q1329202
Q5016511,Q1460635
Q5016295,Q1460635
Q5017434,Q1460635
Q5017900,Q1460635
Q5017194,Q1460635
Q5016523,Q1460635
Q5017584,Q1460635
Q5016451,Q1460635
Q5018169,Q1460635
Q5016763,Q1460635
Q5017546,Q1460635
Q5017777,Q1460635
Q5018005,Q1460635
Q5018189,Q1460635
Q5018107,Q1460635
Q5016907,Q1460635
Q5018027,Q1460635
Q5016965,Q1460635
Q5016984,Q1460635
Q5018069,Q1460635
Q5016902,Q1460635
Q5016430,Q1460635
Q5017238,Q1460635
Q5017464,Q1460635
Q5016913,Q1460635
Q5017760,Q1460635
Q5017558,Q1460635
Q5016685,Q1460635
Q5017044,Q1460635
Q5016710,Q1460635
Q5017900,Q1349388
Q5016430,Q1213568
Q5016511,Q1213568
Q5017900,Q1213568
Q5018027,Q1213568
Q5017546,Q1213568
Q5017158,Q1213568
Q5017194,Q1213568
Q5017714,Q1213568
Q5017011,Q1213568
Q5016907,Q1213568
Q5017777,Q1213568
Q5016901,Q1213568
Q5016295,Q1213568
Q5016763,Q1213568
Q5016482,Q1213568
Q5017875,Q1213568
Q5017464,Q1213568
Q5018107,Q1213568
Q5017813,Q1213568
Q5017353,Q1213568
Q5016451,Q1213568
Q5016908,Q1213568
Q5016447,Q1213568
Q5016616,Q1213568
Q5017501,Q1213568
Q5016913,Q1213568
Q5017558,Q1213568
Q5016710,Q1213568
Q5018169,Q1213568
Q5016216,Q1213568
Q5017589,Q1213568
Q5016402,Q1213568
Q5018189,Q1213568
Q5016984,Q1213568
Q5017811,Q1213568
Q5016523,Q1213568
Q5018005,Q1213568
Q5017345,Q1213568
Q5017043,Q1213568
Q5016260,Q1213568
Q5018107,Q1000509
Q5016907,Q1000509
Q5018107,Q1500670
Q5016430,Q1500670
Q5017501,Q1500670
Q5017464,Q1500670
Q5017689,Q1500670
Q5016511,Q1500670
Q5018027,Q1500670
Q5017345,Q1500670
Q5017777,Q1500670
Q5017589,Q1500670
Q5016482,Q1500670
Q5017900,Q1500670
Q5017194,Q1500670
Q5017875,Q1500670
Q5016295,Q1500670
Q5016523,Q1500670
Q5017674,Q1500670
Q5016763,Q1500670
Q5017353,Q1500670
Q5018169,Q1500670
Q5017546,Q1500670
Q5016689,Q1500670
Q5017607,Q1500670
Q5016710,Q1500670
Q5016447,Q1500670
Q5016260,Q1500670
Q5018112,Q1500670
Q5016907,Q1500670
Q5016913,Q1500670
Q5017629,Q1500670
Q5017584,Q1500670
Q5016399,Q1500670
Q5016901,Q1500670
Q5016402,Q1500670
Q5018005,Q1500670
Q5017811,Q1500670
Q5017760,Q1500670
Q5017315,Q1500670
Q5017063,Q1500670
Q5016984,Q1500670
Q5016685,Q1500670
Q5016310,Q1500670
Q5018189,Q1500670
Q5017423,Q1500670
Q5016867,Q1500670
Q5017972,Q1500670
Q5018069,Q1500670
Q5016465,Q1500670
Q5016812,Q1500670
Q5017370,Q1500670
Q5016446,Q1500670
Q5016204,Q1500670
Q5017559,Q1500670
Q5017011,Q1500670
Q5016869,Q1500670
Q5016451,Q1500670
Q5017564,Q1500670
Q5016580,Q1500670
Q5016216,Q1500670
Q5017043,Q1500670
Q5017308,Q1500670
Q5017547,Q1500670
Q5018049,Q1500670
Q5017533,Q1500670
Q5018034,Q1500670
Q5016818,Q1500670
Q5016872,Q1500670
Q5016986,Q1500670
Q5017071,Q1500670
Q5017218,Q1500670
Q5016876,Q1500670
Q5016616,Q1500670
Q5016226,Q1500670
Q5017834,Q1500670
