?x1,?x3
---------------------------------------
Q6896,Q1050006
Q143886,Q1405647
Q811101,Q1405647
Q1405647,Q1405647
Q19695,Q1156723
Q21276,Q1124570
Q21654,Q1198584
Q22470,Q1523196
Q322471,Q1367897
Q34727,Q1221617
Q1495785,Q1221617
Q1221617,Q1221617
Q34883,Q1049904
Q35972,Q1168353
Q42758,Q1474888
Q45980,Q1094563
Q56148,Q1033983
Q56458,Q1291512
Q57456,Q1233329
Q1337137,Q1233329
Q1233329,Q1233329
Q58061,Q1448450
Q58911,Q1343233
Q60716,Q1002616
Q62186,Q1457175
Q66362,Q1467468
Q67386,Q1080413
Q70474,Q1222444
Q71374,Q1171098
Q901780,Q1183936
Q306202,Q1183936
Q1183936,Q1183936
Q72121,Q1060792
Q1527532,Q1060792
Q1060792,Q1060792
Q74471,Q1148435
Q77828,Q1045911
Q78793,Q1068777
Q79154,Q1182055
Q81027,Q1547084
Q83570,Q1482182
Q98438,Q1086527
Q100862,Q1355452
Q811913,Q1355452
Q1355452,Q1355452
Q100884,Q1079299
Q109611,Q1425967
Q109656,Q1221338
Q114772,Q1160613
Q115008,Q1455470
Q116641,Q1502351
Q119961,Q1333029
Q120122,Q1356880
Q123304,Q1301402
Q126073,Q1355733
Q135109,Q1434860
Q136963,Q1446883
Q137381,Q1318425
Q139724,Q1407662
Q151055,Q1325288
Q155528,Q1484665
Q156658,Q1114055
Q167394,Q1392024
Q170572,Q1196159
Q176944,Q1147746
Q178428,Q1181590
Q148032,Q1181590
Q1181590,Q1181590
Q179966,Q1048418
Q181277,Q1394975
Q181551,Q1364228
Q183731,Q1165311
Q199195,Q1349351
Q560278,Q1349351
Q1349351,Q1349351
Q200853,Q1142082
Q202226,Q1460986
Q204715,Q1185050
Q205769,Q1140356
Q213773,Q1411071
Q217089,Q1200245
Q914002,Q1200245
Q1200245,Q1200245
Q219608,Q1529609
Q222568,Q1236465
Q878644,Q1028257
Q223840,Q1056027
Q226672,Q1269102
Q227387,Q1369165
Q227594,Q1030832
Q230567,Q1116033
Q230658,Q1377152
Q234090,Q1087243
Q237472,Q1480397
Q237940,Q1065614
Q242634,Q1078476
Q414694,Q1545421
Q993744,Q1545421
