?x0,?x2
---------------------------------------
Q3421354,Q1010282
Q3606866,Q1010282
Q3699522,Q1010282
Q3740443,Q1010282
Q3564099,Q1010282
Q3559931,Q1010282
Q3828231,Q1010282
Q3934961,Q1010282
Q3961932,Q1010282
Q3389949,Q1010282
Q3527296,Q1010282
Q3672705,Q1010282
Q3779313,Q1010282
Q3486364,Q1010282
Q3862473,Q1010282
Q3621263,Q1010282
Q3650033,Q1010282
Q3766321,Q1010282
Q3449642,Q1010282
Q3573534,Q1010282
Q3399402,Q1010282
Q3657277,Q1010282
Q3767705,Q1010282
Q3628312,Q1010282
Q3712701,Q1010282
Q3801368,Q1010282
Q3806022,Q1010282
Q3884409,Q1010282
Q3898736,Q1010282
Q3412801,Q1010282
Q3689263,Q1010282
Q3851406,Q1010282
Q3895312,Q1010282
Q3794751,Q1010282
Q3502801,Q1010282
Q3694588,Q1010282
Q3814131,Q1010282
Q3551597,Q1010282
Q3955598,Q1010282
Q3526215,Q1010282
Q3956558,Q1010282
Q3632443,Q1010282
Q3764449,Q1010282
Q3905665,Q1010282
Q3689339,Q1010282
Q3411928,Q1010282
Q3781090,Q1010282
Q3405320,Q1010282
Q3603062,Q1010282
Q3385034,Q1010282
Q3526639,Q1010282
Q3939676,Q1010282
Q3441679,Q1010282
Q3738297,Q1010282
Q3805154,Q1010282
Q3892383,Q1010282
Q3618874,Q1010282
Q3476778,Q1010282
Q3669770,Q1010282
Q3964960,Q1010282
Q3550179,Q1010282
Q3745273,Q1010282
Q3828323,Q1010282
Q3504559,Q1010282
Q3877103,Q1010282
Q3677126,Q1010282
Q3445262,Q1010282
Q3911625,Q1010282
Q3425449,Q1010282
Q3858930,Q1010282
Q3443459,Q1010282
Q3698347,Q1010282
Q3810433,Q1010282
Q3463130,Q1010282
Q3872905,Q1010282
Q3923613,Q1010282
Q3903707,Q1010282
Q3482557,Q1010282
Q3709973,Q1010282
Q3781628,Q1010282
Q3769815,Q1010282
Q3807974,Q1010282
Q3532613,Q1010282
Q3639503,Q1010282
Q3411245,Q1010282
Q3643780,Q1010282
Q3877733,Q1010282
Q3623222,Q1010282
Q3473611,Q1010282
Q3540031,Q1010282
Q3564254,Q1010282
Q3449587,Q1010282
Q3610108,Q1010282
Q3619426,Q1010282
Q3629197,Q1010282
Q3482860,Q1010282
Q3603955,Q1010282
Q3402405,Q1010282
Q3910185,Q1010282
Q3794269,Q1010282
Q3919287,Q1010282
Q3383345,Q1010282
Q3803400,Q1010282
Q3830069,Q1010282
Q3690661,Q1010282
Q3862052,Q1010282
Q3958279,Q1010282
Q3845529,Q1010282
Q3493390,Q1010282
Q3822763,Q1010282
Q3475696,Q1010282
Q3513145,Q1010282
Q3528990,Q1010282
Q3757255,Q1010282
Q3788059,Q1010282
Q3833346,Q1010282
Q3411204,Q1010282
Q3641748,Q1010282
Q3399724,Q1010282
Q3613502,Q1010282
Q3527470,Q1010282
Q3532612,Q1010282
Q3534398,Q1010282
Q3736794,Q1010282
Q3829216,Q1010282
Q3911689,Q1010282
Q3535524,Q1010282
Q3694376,Q1010282
Q3955299,Q1010282
Q3877869,Q1010282
Q3804405,Q1010282
Q3661162,Q1010282
Q3535362,Q1010282
Q3720673,Q1010282
Q3618174,Q1010282
Q3790642,Q1010282
Q3394495,Q1010282
Q3643797,Q1010282
Q3753013,Q1010282
Q3764451,Q1010282
Q3936416,Q1010282
Q3622657,Q1010282
Q3484741,Q1010282
Q3409104,Q1010282
Q3430303,Q1010282
Q3436441,Q1010282
Q3500953,Q1010282
Q3703371,Q1010282
Q3369988,Q1010282
Q3931464,Q1010282
Q3670809,Q1010282
Q3471106,Q1010282
Q3533666,Q1010282
Q3369259,Q1010282
Q3447806,Q1010282
Q3730940,Q1010282
Q3827565,Q1010282
Q3835784,Q1010282
Q3948429,Q1010282
Q3792487,Q1010282
Q3829057,Q1010282
Q3607046,Q1010282
Q3916663,Q1010282
Q3510935,Q1010282
Q3751717,Q1010282
Q3555191,Q1010282
Q3752357,Q1010282
Q3597676,Q1010282
Q3830901,Q1010282
Q3562251,Q1010282
Q3740520,Q1010282
Q3590553,Q1010282
Q3783516,Q1010282
Q3829786,Q1010282
Q3872149,Q1010282
Q3857578,Q1010282
Q3423166,Q1010282
Q3742830,Q1010282
Q3423170,Q1010282
Q3942584,Q1010282
Q3961136,Q1010282
Q3505177,Q1010282
Q3718700,Q1010282
Q3798116,Q1010282
Q3848953,Q1010282
Q3582847,Q1010282
Q3737995,Q1010282
Q3726431,Q1010282
Q3396814,Q1010282
Q3370578,Q1010282
Q3553939,Q1010282
Q3737639,Q1010282
Q3659725,Q1010282
Q3426653,Q1010282
Q3701733,Q1010282
Q3546786,Q1010282
Q3584821,Q1010282
Q3685878,Q1010282
Q3765654,Q1010282
Q3427430,Q1010282
Q3595119,Q1010282
Q3507889,Q1010282
Q3699979,Q1010282
Q3520396,Q1010282
Q3857509,Q1010282
Q3867418,Q1010282
Q3465255,Q1010282
Q3758067,Q1010282
Q3885029,Q1010282
Q3595615,Q1010282
Q3611956,Q1010282
Q3523744,Q1010282
Q3557405,Q1010282
Q3628275,Q1010282
Q3730810,Q1010282
Q3882346,Q1010282
Q3792919,Q1010282
Q3848747,Q1010282
Q3647783,Q1010282
Q3660158,Q1010282
Q3963476,Q1010282
Q3425433,Q1010282
Q3470451,Q1010282
Q3415123,Q1010282
Q3773784,Q1010282
Q3571036,Q1010282
Q3702232,Q1010282
Q3928037,Q1010282
Q3426059,Q1010282
Q3610547,Q1010282
Q3815897,Q1010282
Q3845670,Q1010282
Q3491744,Q1010282
Q3656539,Q1010282
Q3526016,Q1010282
Q3914262,Q1010282
Q3699971,Q1010282
Q3818620,Q1010282
Q3873531,Q1010282
Q3752875,Q1010282
Q3474208,Q1010282
Q3614960,Q1010282
Q3706175,Q1010282
Q3630770,Q1010282
Q3820286,Q1010282
Q3873532,Q1010282
Q3838502,Q1010282
Q3460369,Q1010282
Q3465664,Q1010282
Q3502475,Q1010282
Q3707606,Q1010282
Q3764727,Q1010282
Q3676591,Q1010282
Q3838230,Q1010282
Q3769895,Q1010282
Q3845731,Q1010282
Q3768728,Q1010282
Q3438113,Q1010282
Q3445061,Q1010282
Q3810638,Q1010282
Q3886696,Q1010282
Q3518549,Q1010282
Q3845323,Q1010282
Q3411251,Q1010282
Q3537431,Q1010282
Q3912271,Q1010282
Q3582039,Q1010282
Q3702525,Q1010282
Q3381343,Q1010282
Q3588174,Q1010282
Q3561292,Q1010282
