?x0,?x1
---------------------------------------
Q6,Q1010282
Q146,Q1388537
Q166,Q1474092
Q259,Q1148228
Q669,Q1407916
Q810,Q1502951
Q1197,Q1292915
Q320826,Q1292915
Q1372,Q1046358
Q1693,Q1119861
Q1804,Q1000022
Q1979,Q1352905
Q2077,Q1386480
Q2347,Q1477025
Q2406,Q1103993
Q2439,Q1126496
Q1286598,Q1121811
Q2461,Q1121811
Q2879,Q1010290
Q3135,Q1329202
Q3160,Q1022744
Q3242,Q1280855
Q3331,Q1518317
Q3396,Q1072355
Q3504,Q1460635
Q3682,Q1257702
Q3696,Q1349388
Q3878,Q1288875
Q3883,Q1213568
Q4028,Q1435083
Q4039,Q1369547
Q4289,Q1000509
Q4318,Q1182844
Q105608,Q1384771
Q4442,Q1384771
Q4556,Q1364869
Q4564,Q1500670
Q4810,Q1225718
Q4834,Q1182192
Q379119,Q1070102
Q4835,Q1070102
Q4890,Q1324644
Q4907,Q1452566
Q4979,Q1040702
Q5021,Q1263270
Q5111,Q1355877
Q5222,Q1354689
Q5249,Q1365511
Q5315,Q1325915
Q5417,Q1085431
Q5509,Q1150423
Q5549,Q1306987
Q5589,Q1545521
Q5801,Q1499474
Q5907,Q1247815
Q6076,Q1308065
Q6105,Q1032678
Q6130,Q1017133
Q6152,Q1073168
Q6401,Q1530551
Q6480,Q1369313
Q6699,Q1065484
Q6719,Q1425893
Q6797,Q1386695
Q6834,Q1065978
Q6896,Q1050006
Q1097149,Q1050006
Q7274,Q1180489
Q7324,Q1404540
Q1256863,Q1432038
Q7377,Q1432038
Q7379,Q1238384
Q7803,Q1077064
Q7823,Q1227506
Q8044,Q1260528
Q8223,Q1157174
Q1083985,Q1143063
Q8254,Q1143063
Q8348,Q1071981
Q8391,Q1267491
Q8556,Q1240155
Q8725,Q1156830
Q8965,Q1400524
Q202872,Q1112230
Q9344,Q1112230
Q9480,Q1487515
Q9573,Q1519552
Q9656,Q1171193
Q9667,Q1284395
Q9723,Q1223537
Q9793,Q1427283
Q9871,Q1194168
Q9967,Q1516479
Q9996,Q1420796
Q10042,Q1213448
Q10077,Q1437904
Q10093,Q1192276
Q10198,Q1233084
Q10307,Q1359645
Q10322,Q1336042
Q10490,Q1031706
Q10522,Q1368236
Q10569,Q1043714
Q10632,Q1528920
Q10644,Q1426636
Q10799,Q1059931
Q10898,Q1298067
Q10919,Q1279453
Q10981,Q1359745
Q11044,Q1081965
Q11050,Q1004185
Q11062,Q1393616
Q11297,Q1405647
Q11352,Q1122350
Q11436,Q1505183
Q11476,Q1489236
Q11527,Q1514402
Q11855,Q1195985
Q12026,Q1093260
Q12067,Q1085031
Q12071,Q1303099
Q12153,Q1160505
Q12427,Q1344880
Q384808,Q1344880
Q12465,Q1101273
Q12571,Q1488731
Q12724,Q1044373
Q12735,Q1238077
Q12802,Q1306302
Q12985,Q1106158
Q13000,Q1250016
Q13018,Q1352280
