?x1,?x2
---------------------------------------
Q1010282,Q1010282
Q1388537,Q1388537
Q1474092,Q1474092
Q1148228,Q1148228
Q1407916,Q1407916
Q1502951,Q1502951
Q1292915,Q1292915
Q1046358,Q1046358
Q1119861,Q1119861
Q1000022,Q1000022
Q1352905,Q1352905
Q1386480,Q1386480
Q1477025,Q1477025
Q1103993,Q1103993
Q1126496,Q1126496
Q1121811,Q1121811
Q1010290,Q1010290
Q1329202,Q1329202
Q1022744,Q1022744
Q1280855,Q1280855
Q1518317,Q1518317
Q1072355,Q1072355
Q1460635,Q1460635
Q1257702,Q1257702
Q1349388,Q1349388
Q1288875,Q1288875
Q1213568,Q1213568
Q1435083,Q1435083
Q1369547,Q1369547
Q1000509,Q1000509
Q1182844,Q1182844
Q1384771,Q1384771
Q1364869,Q1364869
Q1500670,Q1500670
Q1225718,Q1225718
Q1182192,Q1182192
Q1070102,Q1070102
Q1324644,Q1324644
Q1452566,Q1452566
Q1040702,Q1040702
Q1263270,Q1263270
Q1355877,Q1355877
Q1354689,Q1354689
Q1365511,Q1365511
Q1325915,Q1325915
Q1085431,Q1085431
Q1150423,Q1150423
Q1306987,Q1306987
Q1545521,Q1545521
Q1499474,Q1499474
Q1247815,Q1247815
Q1308065,Q1308065
Q1032678,Q1032678
Q1017133,Q1017133
Q1073168,Q1073168
Q1530551,Q1530551
Q1369313,Q1369313
Q1065484,Q1065484
Q1425893,Q1425893
Q1386695,Q1386695
Q1065978,Q1065978
Q1050006,Q1050006
Q1180489,Q1180489
Q1404540,Q1404540
Q1432038,Q1432038
Q1238384,Q1238384
Q1077064,Q1077064
Q1227506,Q1227506
Q1260528,Q1260528
Q1157174,Q1157174
Q1143063,Q1143063
Q1071981,Q1071981
Q1267491,Q1267491
Q1240155,Q1240155
Q1156830,Q1156830
Q1400524,Q1400524
Q1112230,Q1112230
Q1487515,Q1487515
Q1519552,Q1519552
Q1171193,Q1171193
Q1284395,Q1284395
Q1223537,Q1223537
Q1427283,Q1427283
Q1194168,Q1194168
Q1516479,Q1516479
Q1420796,Q1420796
Q1213448,Q1213448
Q1437904,Q1437904
Q1192276,Q1192276
Q1233084,Q1233084
Q1359645,Q1359645
Q1336042,Q1336042
Q1031706,Q1031706
Q1368236,Q1368236
Q1043714,Q1043714
Q1528920,Q1528920
Q1426636,Q1426636
Q1059931,Q1059931
Q1298067,Q1298067
Q1279453,Q1279453
Q1359745,Q1359745
Q1081965,Q1081965
Q1004185,Q1004185
Q1393616,Q1393616
Q1405647,Q1405647
Q1122350,Q1122350
Q1505183,Q1505183
Q1489236,Q1489236
Q1514402,Q1514402
Q1195985,Q1195985
Q1093260,Q1093260
Q1085031,Q1085031
Q1303099,Q1303099
Q1160505,Q1160505
Q1344880,Q1344880
Q1101273,Q1101273
Q1488731,Q1488731
Q1044373,Q1044373
Q1238077,Q1238077
Q1306302,Q1306302
Q1106158,Q1106158
Q1250016,Q1250016
Q1352280,Q1352280
Q1541412,Q1541412
Q1535077,Q1535077
Q1074874,Q1074874
Q1287933,Q1287933
Q1083159,Q1083159
Q1527353,Q1527353
Q1031605,Q1031605
Q1250192,Q1250192
Q1053661,Q1053661
